,Growth Rate,Lag Phase
A1,0.0,0.0
A2,0.0,5.73212479447476
A3,0.0,5.446539875564369
A4,0.0,4.675431949571077
A5,0.0,3.2667823094160973
A6,0.0,3.0779543655998793
A7,0.0,2.18563160151178
A8,0.0,1.787270440247898
A9,0.0,2.0854833779984006
A10,0.0,1.5798548279147298
A11,0.0,1.1039521254650495
A12,0.0,1.3789518022573546
B1,0.48096300429622574,-0.1871129169939666
B2,0.4801079647047787,-0.46193383037425373
B3,0.0,0.0
B4,0.0,6.982636502640524
B5,0.0,6.295095226662841
B6,0.0,3.5683011177465858
B7,0.0,2.7716412915146904
B8,0.0,1.9008408162472605
B9,0.0,1.5132575098546113
B10,0.0,1.8478024711536811
B11,0.0,2.3335681885354305
B12,0.0,2.022574663683855
C1,0.6547290276531609,-0.09918191062993431
C2,0.6186561792587019,-0.24729671068865888
C3,0.5665517265580181,0.6346755712851089
C4,0.4595605744099492,0.14354850510567285
C5,0.5420153160195761,12.242502933034853
C6,0.0,6.671366314857925
C7,0.0,3.382383099777563
C8,0.0,2.6428756319168443
C9,0.0,2.474916090984973
C10,0.0,1.382756240556514
C11,0.0,1.8345854031948257
C12,0.0,1.3698685936300414
D1,0.7103216942904403,-0.13953895197707644
D2,0.6266098635594429,-0.02935735203698897
D3,0.6142113556039097,0.012680120907814008
D4,0.5389832157442892,0.3700911105446716
D5,0.3815278283866798,1.5391654763261862
D6,0.0,5.77371771685138
D7,0.0,3.3690105252992772
D8,0.0,2.156243656968808
D9,0.0,1.9406998763469616
D10,0.0,1.7557904487671294
D11,0.0,1.8533058882138143
D12,0.0,1.9521398969739217
E1,0.6558214631823298,-0.14302377932222488
E2,0.6843275703535276,-0.2667007698051187
E3,0.6565432729479793,0.13466010688804486
E4,0.6159651060706293,0.4862539927789151
E5,0.5461953251373445,1.4313596709720557
E6,0.49726664293416145,3.9658575572554606
E7,0.0,2.3530444417299528
E8,0.0,2.1538021640277023
E9,0.0,2.0234434140370574
E10,0.0,1.9062045513035635
E11,0.0,1.4528754440506901
E12,0.0,1.4168369806048844
F1,0.7368621799446416,-0.024186416476282835
F2,0.819743610496113,-0.17987976614711176
F3,0.653451856204967,0.08209923308079015
F4,0.6533113397719853,-0.0324702468006004
F5,0.5679335100939401,0.7082471644618509
F6,0.489108612642843,2.6666985469016797
F7,0.0,1.941250697233098
F8,0.0,1.8727673835324232
F9,0.0,1.7816812948811496
F10,0.0,1.5785232132247984
F11,0.0,1.458856350720044
F12,0.0,1.4853102824675837
G1,0.8680136371024628,-0.079180366716331
G2,0.9717416321830286,-0.15605470046630066
G3,0.8634771272212887,-0.08334980619090004
G4,0.8495931968422388,-0.10272896658514497
G5,0.7453672833219077,-0.15112201762477773
G6,0.5249918499680397,0.5825772636200366
G7,0.3002921272520575,4.255218348737435
G8,0.0,1.3736978449182935
G9,0.0,1.5346677317160982
G10,0.0,1.3527633735745717
G11,0.0,2.3524944072054197
G12,0.0,1.3332823725572673
H1,0.8345897901318864,-0.12995557251221845
H2,0.9065229425781178,-0.13193874878314094
H3,0.7403303815130884,0.038338278677370274
H4,0.9199713633708634,-0.09180712577706884
H5,0.8222530741453294,-0.12670454039635526
H6,0.5963083223168488,-0.3077681209315284
H7,0.5583390246032688,1.0339703985309856
H8,0.36726648007721513,3.0134511776102872
H9,0.0,1.4416339343347921
H10,0.0,1.7107620591743142
H11,0.0,1.7319418793172439
H12,0.0,1.9126541702512867
