,Growth Rate,Lag Phase
A1,0.7334947445855642,0.35503241724285894
A2,0.6973697556270815,0.5699064958712903
A3,0.592531002133186,0.3410828140419788
A4,0.6488380267652105,1.138415053513099
A5,0.0,4.808071043613674
A6,0.0,2.87462159614644
A7,0.0,2.1631951479325053
A8,0.0,2.0186316893964076
A9,0.0,1.7086241597107268
A10,0.0,1.8790749616812938
A11,0.0,1.6479526622105816
A12,0.0,1.5196050342984115
B1,0.765788791020013,0.5553696860745787
B2,0.8342307712701171,0.5480361952086308
B3,0.6441776601952299,0.26386353713151944
B4,0.657988502985188,0.42783539182048713
B5,0.45244774037244356,0.16078107839434352
B6,0.0,5.29468756794912
B7,0.0,2.115195693467367
B8,0.0,1.945790542569874
B9,0.0,1.9294070855543168
B10,0.0,2.103227396287867
B11,0.0,1.525868974883057
B12,0.0,1.5570687130406071
C1,0.7539735719205518,0.6256984128377288
C2,0.8419068672673771,0.748578782715152
C3,0.677098450857587,0.2981201341011217
C4,0.7021910999616572,0.279897116208891
C5,0.632984575929872,0.576244604029001
C6,0.4091856096159153,1.5412020935294848
C7,0.0,2.8158382743985797
C8,0.0,2.1532139299592323
C9,0.0,1.5714737674250685
C10,0.0,1.9058166404125743
C11,0.0,1.6990148658390325
C12,0.0,1.5008781545762666
D1,0.734177815994032,0.6533215099151515
D2,0.8509854261084278,0.7307780142701525
D3,0.7084598740230494,0.3507949397040506
D4,0.7523324051651571,0.4433064310781134
D5,0.6790225505278237,0.6349942576567456
D6,0.610149671741065,1.4956850894922744
D7,0.40157847853829304,4.93043877856586
D8,0.0,0.0
D9,0.0,1.7996057886743309
D10,0.0,1.5029159837548676
D11,0.0,1.7281323319877906
D12,0.0,1.3716683626630335
E1,0.7421791512920382,0.4851198338549283
E2,0.8717032411198009,0.7630775992039727
E3,0.7687486529926361,0.492966591550799
E4,0.7390959843201574,0.37116974862354724
E5,0.8121708863786934,0.8420598553383298
E6,0.5538185321624963,1.3401513438061041
E7,0.4386964443242295,3.672794685847612
E8,0.0,1.7095662595868184
E9,0.0,1.2984889104153226
E10,0.0,1.7064900534184062
E11,0.0,1.6822174536344647
E12,0.0,1.6416127566861505
F1,0.8054156343516814,0.8148726475082779
F2,0.9300735067628798,0.6863761274297975
F3,0.9135658239900052,0.6738134608883244
F4,0.7554095523064077,0.6044616495777091
F5,0.7885180577488001,0.9232851494066914
F6,0.6209201023241615,0.6297641809980794
F7,0.42249649309173826,3.2692602589799
F8,0.0,1.6158931528155591
F9,0.0,1.6686014304340198
F10,0.0,1.6357931947862632
F11,0.0,1.528320958107198
F12,0.0,1.2445651872164483
G1,0.762327456034224,0.8696349469161362
G2,0.9909301818260942,1.3820439579515753
G3,0.9699531244730534,1.5692995517350576
G4,0.7716566445802042,0.9371685721099432
G5,0.6703501331399339,1.0764128762706675
G6,0.5415811154348608,0.4870032035224554
G7,0.5005074545143381,1.7017151618171296
G8,0.26732637588729075,6.384979724465207
G9,0.0,1.628981243872765
G10,0.0,1.8971330333774254
G11,0.0,1.9109822690631475
G12,0.0,2.039861336084005
H1,0.6729533888506223,1.5166981682321348
H2,0.6315155157461411,1.5449940800821347
H3,0.7240065209316561,1.6419515240379368
H4,0.5797052551589882,1.0886232588768392
H5,0.6634620577305371,1.198107814514675
H6,0.6186031361360093,0.984828043808001
H7,0.5176213530261614,1.261692427902699
H8,0.3991997826839313,1.3466987349439448
H9,0.25444307081669376,4.571378516289886
H10,0.0,1.9418020059924324
H11,0.0,1.844705425805003
H12,0.0,2.1019299609488016
