,Growth Rate,Lag Phase
A1,0.8050972787675525,0.3154143129624365
A2,0.517875455972874,13.648987778881551
A3,0.4504554400462472,10.108006877821861
A4,0.4379939265459753,17.619231096016865
A5,0.0,1.1937101742398966
A6,0.0,1.230415207550486
A7,0.0,0.8250239509601514
A8,0.0,1.0166014550637392
A9,0.0,1.0152779662134748
A10,0.0,1.0118841286086422
A11,0.0,1.2722593299784535
A12,0.0,1.5031437852464329
B1,0.8576814410130342,0.365994579336383
B2,0.49505757681833995,13.266027720672922
B3,0.42229185246259704,10.068608743859624
B4,0.0,0.0
B5,0.0,1.2592685405121458
B6,0.0,1.4163736706328365
B7,0.0,1.6073493854831824
B8,0.0,1.0197356802194868
B9,0.0,1.570182326082623
B10,0.0,1.2402812688941722
B11,0.0,1.6893945716203227
B12,0.0,1.0869604229312841
C1,0.8257682239241504,0.15280693870980988
C2,0.48480499209538613,2.2002592072958684
C3,0.39123633821248505,6.698631426360285
C4,0.5688771328074985,12.957079363173479
C5,0.0,0.7990138069405077
C6,0.0,1.2685233904948774
C7,0.0,1.5611346322380584
C8,0.0,1.0258262083935143
C9,0.0,1.4364319379436346
C10,0.0,1.2996737983458324
C11,0.0,1.3316730977473377
C12,0.0,1.5276685516372979
D1,0.8374975560127056,0.6169647015467299
D2,0.5854020136436209,0.4173600036698435
D3,0.6466328054331392,2.572574883199247
D4,0.6543914992505034,5.52032030933287
D5,0.5237984449065081,15.079281177663473
D6,0.0,1.475900892657414
D7,0.0,1.3788553814887727
D8,0.0,1.4131768010534422
D9,0.0,1.3085644913949643
D10,0.0,0.8701528611045717
D11,0.0,1.3658233891229123
D12,0.0,0.9438917985012942
E1,0.8178436173301054,0.36663132127720033
E2,0.676241561663522,0.11397509122532501
E3,0.6784732334902533,1.0405487826499624
E4,0.5835570953756358,2.3563940316149985
E5,0.5611996331171554,4.72909621408793
E6,0.46231112246689404,16.08315531919778
E7,0.0,0.6746240114369009
E8,0.0,0.6718335744465627
E9,0.0,1.3377935285827505
E10,0.0,1.2141178233216365
E11,0.0,1.3607515376302324
E12,0.0,0.6902917718523405
F1,0.9347921378395486,0.17570276596528922
F2,0.8571776744172868,0.5308383214985875
F3,0.7800954920535866,0.2592861309119683
F4,0.7101495496908053,0.4311370724798431
F5,0.7156128149612323,1.4778587329626456
F6,0.4829688373672613,2.9007432779376225
F7,0.41819776062001496,12.8516214216132
F8,0.0,0.366979891970324
F9,0.0,1.3551262937146227
F10,0.0,1.6190421426770563
F11,0.0,1.6788893386802322
F12,0.0,1.0134588532947824
G1,0.8684328084772407,0.9543872560503726
G2,0.8585641537429691,0.878324846499468
G3,0.8535075862957132,1.0459056358674577
G4,0.8546620748442779,0.8077609872220801
G5,0.8151043988831883,1.093002392844867
G6,0.6511967973129459,0.892573648954599
G7,0.39829114507223295,2.0817820898994723
G8,0.40251015649615973,19.593933911647373
G9,0.0,1.415362890435663
G10,0.0,0.8771421710823866
G11,0.0,0.8310170355082995
G12,0.0,0.8367020274613175
H1,0.6661488536953559,0.9742107488920593
H2,0.715249542816523,1.002328610135128
H3,0.686552539194279,0.9075488329413446
H4,0.6980888690007426,1.0723888524845813
H5,0.6581990937465411,0.940509940658794
H6,0.6468611261948536,0.8893982595444365
H7,0.5306445099078086,0.5745094476178085
H8,0.4250569411554873,1.676683528393741
H9,0.0,0.0
H10,0.0,1.4040154022630915
H11,0.0,1.0375076073368916
H12,0.0,1.1763138784526568
