,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1517492058.0,0.063357,0.061663,0.058553,0.06318,0.06331,0.062572,0.060091,0.063869,0.061964,0.062996,0.062385,0.060693,0.067354,0.064725,0.062597,0.056707,0.06355,0.064657,0.064015,0.064201,0.063666,0.065161,0.063534,0.062924,0.068354,0.059875,0.062778,0.059478,0.064825,0.061518,0.064221,0.0639,0.061623,0.06424,0.053885,0.065555,0.065135,0.055305,0.063277,0.063428,0.063012,0.063676,0.063382,0.063166,0.063903,0.063307,0.063998,0.064105,0.068183,0.064311,0.06393,0.064267,0.063777,0.063536,0.062705,0.063388,0.062458,0.061487,0.0633,0.061894,0.065213,0.062095,0.065483,0.061766,0.051242,0.065204,0.063261,0.063567,0.062888,0.063321,0.062957,0.069029,0.071792,0.06493,0.064988,0.064807,0.064501,0.063374,0.063691,0.062584,0.058189,0.061176,0.067482,0.057295,0.06528,0.063717,0.063653,0.063718,0.064756,0.065964,0.065046,0.06401,0.065693,0.064429,0.058617,0.065838
1517493354.0,0.073082,0.069643,0.06627,0.068986,0.071137,0.070524,0.06661,0.072502,0.059427,0.057088,0.065917,0.055473,0.07039,0.071899,0.072719,0.055737,0.069787,0.071869,0.071425,0.067928,0.067296,0.058463,0.057423,0.059025,0.076394,0.071625,0.070171,0.065754,0.072713,0.069465,0.072469,0.063819,0.061587,0.066593,0.059736,0.065026,0.073788,0.060196,0.070378,0.070523,0.070714,0.070266,0.070226,0.069865,0.066007,0.058921,0.058037,0.058054,0.076887,0.07187,0.071586,0.073218,0.071763,0.071359,0.071263,0.068974,0.060404,0.057262,0.057125,0.057059,0.074149,0.072099,0.072079,0.071502,0.058374,0.07361,0.070932,0.070086,0.059867,0.062644,0.057438,0.065188,0.080421,0.07379,0.0728,0.073955,0.072492,0.070486,0.071727,0.070883,0.061089,0.057621,0.05991,0.05766,0.069471,0.06966,0.071877,0.069406,0.071807,0.072352,0.070529,0.072034,0.071032,0.070603,0.064877,0.066655
1517494652.0,0.076802,0.074552,0.07027,0.07663,0.075674,0.07448,0.06271,0.052543,0.047208,0.047447,0.05222,0.045553,0.082543,0.076329,0.077204,0.06294,0.078313,0.075249,0.068032,0.049419,0.046079,0.052133,0.045389,0.046499,0.084788,0.076878,0.074381,0.070395,0.078544,0.073483,0.068081,0.051201,0.045395,0.046332,0.052454,0.051297,0.081377,0.058136,0.073595,0.073994,0.074159,0.073514,0.065085,0.049672,0.0506,0.045368,0.044982,0.049068,0.083514,0.078734,0.075354,0.076622,0.075402,0.073941,0.072738,0.049741,0.045043,0.044607,0.045033,0.044763,0.079426,0.078351,0.075966,0.074989,0.060362,0.077116,0.066393,0.049476,0.044805,0.052121,0.044938,0.048803,0.082175,0.072651,0.078523,0.077924,0.075426,0.076045,0.068702,0.056804,0.045443,0.045122,0.04581,0.045151,0.078485,0.074113,0.07879,0.080079,0.07829,0.077492,0.076702,0.062724,0.050359,0.050742,0.046424,0.055624
1517495948.0,0.15815,0.081133,0.076775,0.082204,0.076274,0.079836,0.061779,0.054387,0.04818,0.043613,0.052269,0.042957,0.091222,0.082762,0.085892,0.068059,0.08403,0.079938,0.06637,0.05386,0.044432,0.050263,0.046069,0.046136,0.087494,0.079833,0.080255,0.076732,0.083476,0.078441,0.066996,0.047341,0.044456,0.044467,0.056645,0.046778,0.087649,0.066579,0.082089,0.080388,0.081337,0.085067,0.064728,0.047642,0.051199,0.044062,0.045666,0.045545,0.084659,0.08261,0.082664,0.077471,0.08017,0.075873,0.068033,0.050134,0.0442,0.044209,0.043714,0.050272,0.084775,0.077453,0.08702,0.083469,0.065606,0.078023,0.063707,0.053612,0.043671,0.051555,0.043835,0.054211,0.092088,0.08336,0.08752,0.083526,0.07788,0.076152,0.061637,0.05032,0.044046,0.043936,0.044501,0.043683,0.085337,0.08451,0.085263,0.085432,0.085715,0.087148,0.073599,0.059741,0.05322,0.053104,0.044638,0.047347
1517497248.0,0.11041,0.099097,0.086484,0.099819,0.092945,0.094753,0.059616,0.0528,0.04292,0.04277,0.052545,0.042305,0.10513,0.098403,0.093648,0.073307,0.096385,0.099217,0.06978,0.05246,0.045826,0.051691,0.043391,0.044479,0.11454,0.099456,0.092134,0.079401,0.092291,0.094509,0.070788,0.04578,0.048238,0.043827,0.054069,0.044859,0.10528,0.069416,0.093498,0.093534,0.087757,0.096523,0.068668,0.045554,0.050928,0.043394,0.049758,0.043293,0.10575,0.09823,0.096203,0.094074,0.089827,0.090961,0.065584,0.045201,0.045075,0.043934,0.043013,0.042657,0.10268,0.094934,0.10023,0.089486,0.069485,0.094691,0.062019,0.053224,0.043003,0.050252,0.043022,0.048222,0.11399,0.098477,0.10014,0.096296,0.093106,0.086739,0.062424,0.046436,0.043341,0.043175,0.043484,0.04269,0.10389,0.093761,0.093032,0.10356,0.090204,0.10597,0.077189,0.056359,0.04509,0.051901,0.043864,0.047844
1517498544.0,0.14516,0.13194,0.11735,0.13135,0.13262,0.1092,0.057075,0.052176,0.0431,0.042653,0.049219,0.042111,0.14472,0.13665,0.13406,0.098494,0.12917,0.11209,0.066438,0.051892,0.043165,0.047489,0.043067,0.044925,0.15157,0.14538,0.12896,0.11042,0.13465,0.10747,0.06612,0.044927,0.047496,0.043426,0.053372,0.047314,0.14011,0.091966,0.13194,0.12769,0.12677,0.10627,0.06674,0.051992,0.050459,0.04314,0.04268,0.043888,0.13977,0.12955,0.13121,0.13011,0.12911,0.10575,0.063579,0.044484,0.045543,0.04681,0.042729,0.042206,0.13598,0.13456,0.1296,0.12976,0.078997,0.11596,0.058643,0.052169,0.043941,0.050092,0.042779,0.047059,0.1449,0.13345,0.13279,0.1339,0.12566,0.10119,0.05827,0.048717,0.043028,0.043008,0.043401,0.042732,0.13268,0.12396,0.12238,0.12775,0.11977,0.1286,0.087393,0.051349,0.046252,0.051823,0.043464,0.050912
1517499844.0,0.17782,0.16002,0.14827,0.16516,0.16523,0.1321,0.054778,0.051438,0.042559,0.048028,0.052044,0.041532,0.17757,0.16657,0.16449,0.13419,0.16121,0.13518,0.065703,0.051521,0.044078,0.05265,0.042792,0.044408,0.18225,0.16525,0.16171,0.14289,0.16788,0.12954,0.066777,0.044251,0.044565,0.050899,0.04926,0.044589,0.1695,0.12084,0.16051,0.15945,0.15855,0.13567,0.063427,0.05161,0.050038,0.042758,0.043519,0.043459,0.17092,0.16546,0.15945,0.16192,0.159,0.13243,0.059337,0.051659,0.05018,0.043024,0.04238,0.042065,0.16983,0.16052,0.16106,0.15622,0.098203,0.14187,0.05749,0.051123,0.043642,0.049535,0.042172,0.053475,0.17602,0.16484,0.16103,0.16314,0.15751,0.1299,0.062173,0.051777,0.043205,0.042789,0.042888,0.042147,0.16561,0.16093,0.16091,0.15819,0.15984,0.15724,0.099528,0.05499,0.046012,0.051393,0.043071,0.047868
1517501140.0,0.19918,0.18825,0.17736,0.19217,0.19259,0.15155,0.053048,0.051127,0.042035,0.042122,0.052083,0.041337,0.20029,0.19341,0.19188,0.16184,0.18998,0.16433,0.062386,0.051237,0.046185,0.047984,0.042483,0.044598,0.20532,0.19119,0.18787,0.17215,0.19613,0.15133,0.063981,0.043751,0.05023,0.05047,0.04472,0.04159,0.19613,0.15157,0.18944,0.18741,0.18807,0.15512,0.060959,0.051151,0.050016,0.045035,0.047752,0.044454,0.19786,0.19342,0.18794,0.19174,0.18933,0.15535,0.062017,0.051269,0.049999,0.049492,0.045155,0.041734,0.19884,0.18882,0.19087,0.18078,0.12658,0.16568,0.060911,0.043835,0.042243,0.049376,0.042144,0.049923,0.20865,0.19248,0.19174,0.19153,0.18978,0.15418,0.061298,0.051261,0.042741,0.045156,0.042847,0.04214,0.19801,0.19095,0.19449,0.18985,0.19196,0.18819,0.11697,0.054331,0.043824,0.051386,0.042905,0.04966
1517502436.0,0.21784,0.20503,0.19272,0.20885,0.21177,0.17021,0.052329,0.050715,0.041897,0.0415,0.049884,0.041,0.21799,0.21155,0.20648,0.18415,0.21052,0.18032,0.060544,0.050845,0.048584,0.047923,0.042348,0.045337,0.23348,0.21185,0.2083,0.19085,0.21998,0.1691,0.062558,0.043374,0.050061,0.050102,0.051066,0.041062,0.22102,0.17762,0.21178,0.21129,0.21346,0.17583,0.059651,0.050798,0.049585,0.049912,0.049545,0.042077,0.22892,0.21638,0.2174,0.21675,0.2171,0.18069,0.060389,0.050949,0.049831,0.049564,0.0422,0.041349,0.22452,0.2163,0.2172,0.2114,0.1522,0.18596,0.060087,0.042819,0.048651,0.049084,0.041728,0.045862,0.24618,0.22876,0.22693,0.22552,0.22681,0.18123,0.064892,0.051109,0.042404,0.042576,0.042247,0.041525,0.23724,0.22816,0.2337,0.2277,0.22999,0.22367,0.13739,0.053767,0.043929,0.051045,0.042711,0.04947
1517503732.0,0.2323,0.22209,0.20665,0.22488,0.23101,0.19023,0.052476,0.050546,0.043333,0.041986,0.052834,0.041136,0.23765,0.2296,0.22855,0.19922,0.23001,0.1991,0.060251,0.050504,0.050107,0.049044,0.046611,0.04236,0.25232,0.23498,0.23192,0.21097,0.24498,0.18708,0.062053,0.043254,0.050064,0.049997,0.042125,0.041437,0.24825,0.19609,0.23727,0.24028,0.24072,0.19682,0.059319,0.050737,0.049555,0.050005,0.049465,0.042078,0.25724,0.24858,0.24412,0.24542,0.24441,0.20194,0.059759,0.050559,0.049633,0.049392,0.049626,0.049327,0.25284,0.24305,0.24115,0.24043,0.17967,0.22219,0.059864,0.049592,0.049382,0.049424,0.041892,0.046217,0.28041,0.26393,0.26304,0.26815,0.26449,0.21576,0.067326,0.050821,0.043664,0.042559,0.043269,0.041842,0.27576,0.27152,0.26998,0.26563,0.27117,0.2642,0.16658,0.053434,0.044148,0.051124,0.042769,0.062031
