,R1,R2,R3,R4,R5,R6
DLmalate10,0.3757822885174407,0.6182038909813192,0.6718420560898659,,,
DLmalate25,1.5842455233445811,1.317224837793264,1.4114643548561727,,,
DLmalate50,0.54223837233382,1.3105177235480132,0.7751575887520034,,,
Llactate10,0.3512122847760008,0.3505440870300456,0.3794840818844766,,,
Llactate25,0.5023134060637077,0.32234818319914244,0.3292262346941164,,,
Llactate5,0.4844293447229318,0.5878475927358114,0.5230419762179249,,,
Saccharicac0.9,0.5000844324894225,0.3249701313436309,0.4686573012408294,,,
Saccharicac18,0.3422676130470388,0.3520394147859253,0.3317357155346569,,,
Saccharicac9,0.4021176013667937,0.3607754796439575,0.34296897913748,,,
glc0.4,0.6520945770581612,0.6887033833570607,0.6773767940603828,,,
glucuronica10,0.5025436815962552,0.6026199312676604,0.9743105095995171,,,
glucuronica25,0.3967878305457589,0.4124607484271921,0.4586705240029691,,,
glucuronica50,0.8783833651526691,0.5013228373577852,0.468654160717555,,,
ketobutyrica1,1.0185844704410172,0.3108218579300583,0.7791812144168256,,,
ketobutyrica2,0.8961956827673268,0.2517601422609773,0.17251480366424088,,,
ketobutyrica5,1.3611909864268033,4.46915189746288,3.267471199766087,,,
methylpyr10,0.4534341335375928,0.4126210613991246,0.6245400213717471,,,
methylpyr25,0.3681212609969852,0.3584876014794753,0.3630459745807429,,,
methylpyr5,0.3840771365629789,0.4113738859536392,0.6404061625850299,,,
DLmalate10,0.4134607851958961,0.4874218231331686,0.6925569007119454,,,
DLmalate25,0.5791141492387679,0.5259231904019357,0.3656347681106317,,,
DLmalate50,0.8924163566789233,0.6103690953659385,0.4907128852037402,,,
Lmalate10,0.915670923251942,0.8943517885178018,0.4265134422870415,,,
Lmalate25,0.903509237911696,0.4375617373233834,0.6659236035995617,,,
Lmalate50,0.513830249934876,0.446794124205054,0.6943531276703667,,,
asparagine10,0.5205336612309136,0.4182456841282598,0.2553580146585244,,,
asparagine25,0.4015747353214178,0.5451322702562024,0.34047947332452194,,,
asparagine5,0.5424190317636696,0.5068996994756356,0.4126638828990827,,,
aspartica10,0.3127220770386888,0.30504351788957274,2.706955518211242,,,
aspartica25,0.35575087849173864,2.9513602456811885,1.6135622651840722,,,
aspartica5,0.2985874728819292,0.3470464579427848,0.5120539208280923,,,
glc0.4,0.7926809236029058,3.8828299328347837,1.2453052519200982,,,
glycylaspartica10,0.8193640276120394,0.8364300887483072,0.4632714657714035,,,
glycylaspartica25,0.3703020682558639,0.3314644339800594,0.2573860098017083,,,
glycylaspartica5,0.9981856574395146,0.5111518909836448,0.3700607083368619,,,
ketobutyrate1,0.532996542903094,0.4001760502845048,0.36398821849927815,,,
ketobutyrate2,0.2640127920624154,0.2403769684136165,0.2973443874176121,,,
ketobutyrate5,0.19224193110751472,0.6097156539578286,1.0232413052517235,,,
DSerine10,0.6226787841841951,0.4685660786630112,0.6041388357645241,,,
DSerine25,0.4497877940236919,0.5776315000891497,0.43795936034425803,,,
DSerine5,0.5708233666215758,0.4877730680288503,0.5130479971156432,,,
GlycylAspartic10,0.4661547357405473,0.3015041197085504,0.3307730990942652,,,
GlycylAspartic25,0.6005874227703923,0.4039079319291401,0.44328110218795946,,,
GlycylAspartic5,0.5372360632415686,0.17768037125302866,0.4913279271541969,,,
Ketoglutarate10,1.1120491315893113,1.0694334421760143,0.4604159513661958,,,
Ketoglutarate15,0.4762287270945674,0.4805904127094215,0.3796983979779566,,,
Ketoglutarate5,4.839148044317873,0.9860516742751824,1.359563386869774,,,
