,R1,R2,R3,R4,R5,R6
DLmalate10,0.2882315789473684,0.39273723577235775,0.2717381699346405,,,
DLmalate25,0.03336666666666666,0.04369533333333333,0.05236933333333334,,,
DLmalate50,0.003283333333333333,0.005383333333333332,0.0033,,,
Llactate10,0.2193793939393939,0.21333629629629625,0.21374598290598293,,,
Llactate25,0.6003355555555554,0.5647559999999999,0.6440470175438596,,,
Llactate5,0.12207633333333333,0.11286740740740743,0.09986633333333332,,,
Saccharicac0.9,0.06034733333333332,0.04323958333333333,0.06655809523809524,,,
Saccharicac18,0.6427627777777777,0.5968379487179487,0.6174638888888889,,,
Saccharicac9,0.4264903703703704,0.3977622222222222,0.3732160000000001,,,
glc0.4,0.6601026666666665,0.5646269135802467,0.5234457142857143,,,
glucuronica10,0.4839133333333334,0.4497126984126984,0.4511133333333333,,,
glucuronica25,0.7285993333333334,0.7426959999999999,0.6198872222222223,,,
glucuronica50,0.6699420512820512,0.6618223999999999,0.6345466666666666,,,
ketobutyrica1,0.058882222222222225,0.02453611111111111,0.029038666666666664,,,
ketobutyrica2,0.02409333333333333,0.024686111111111117,0.02111888888888889,,,
ketobutyrica5,0.02345523809523809,0.1546,0.11135111111111112,,,
methylpyr10,0.1809192307692308,0.2666025,0.1808880833333333,,,
methylpyr25,0.5010153333333334,0.5134703030303029,0.5081090909090911,,,
methylpyr5,0.12128142857142855,0.11375444444444445,0.09740579710144924,,,
DLmalate10,0.3811478518518519,0.3935655555555556,0.4024794871794872,,,
DLmalate25,0.7466320634920636,0.7547573333333334,0.7622296969696969,,,
DLmalate50,0.7849654545454544,0.38601710144927537,0.3433417948717949,,,
Lmalate10,0.3265916666666667,0.3430916666666667,0.32354476190476195,,,
Lmalate25,0.7770999999999999,0.7694058333333333,0.7561088888888889,,,
Lmalate50,0.7473662962962963,0.7534673684210527,0.7776484057971011,,,
asparagine10,0.04326969696969697,0.04559047619047619,0.04456190476190476,,,
asparagine25,0.08163666666666666,0.11083499999999999,0.12924000000000002,,,
asparagine5,0.031911794871794866,0.03197407407407407,0.033041904761904765,,,
aspartica10,0.04199777777777778,0.04179555555555555,0.0489774358974359,,,
aspartica25,0.043603703703703714,0.06619333333333333,0.07292000000000001,,,
aspartica5,0.03466,0.033689000000000004,0.032603939393939387,,,
glc0.4,0.7793384126984128,0.6868948148148148,0.683382962962963,,,
glycylaspartica10,0.07259666666666666,0.082396,0.08056266666666666,,,
glycylaspartica25,0.13566,0.140104,0.16336666666666666,,,
glycylaspartica5,0.04956916666666666,0.049224761904761896,0.048808571428571416,,,
ketobutyrate1,0.032765333333333334,0.036756,0.03455333333333333,,,
ketobutyrate2,0.0282,0.031777777777777766,0.042472,,,
ketobutyrate5,0.03349777777777778,0.06293333333333334,0.14163777777777778,,,
DSerine10,0.28952818181818185,0.3287773333333333,0.3013456140350877,,,
DSerine25,0.4081349019607843,0.39408487179487184,0.3943616352201258,,,
DSerine5,0.12316948717948716,0.16669444444444445,0.1158774074074074,,,
GlycylAspartic10,0.031203589743589742,0.03121666666666667,0.033846060606060616,,,
GlycylAspartic25,0.04262166666666666,0.044685,0.04306074074074075,,,
GlycylAspartic5,0.02442916666666667,0.0235978494623656,0.02432053333333333,,,
Ketoglutarate10,0.35042222222222225,0.33174380952380955,0.3534066666666667,,,
Ketoglutarate15,0.4502906666666667,0.5203226666666666,0.5788788888888888,,,
Ketoglutarate5,0.17619787878787874,0.1806514814814815,0.1954708333333333,,,
Lasparagine10,0.03202270833333334,0.03157454545454545,0.031606666666666665,,,
Lasparagine25,0.041113333333333335,0.04222962962962963,0.041576,,,
Lasparagine5,0.022604133333333328,0.02344949494949495,0.02152828282828283,,,
Laspartic10,0.032334609929078016,0.031275254237288136,0.03394611111111112,,,
Laspartic25,0.036028484848484844,0.03893,0.03969875,,,
Laspartic5,0.022839316239316242,0.02267024154589372,0.020855652173913043,,,
Tartaric10,0.03260567901234568,0.03459282051282051,0.033075238095238095,,,
Tartaric25,0.0346516049382716,0.03346238095238095,0.032518431372549034,,,
Tartaric5,0.034042333333333334,0.0309563184079602,0.029739285714285708,,,
glc0.4,0.5536220370370369,0.5950533333333334,0.5910376470588234,,,
LAlanine100,0.3073366666666667,0.31152761904761894,0.3186811111111112,,,
LAlanine10,0.2280953623188405,0.2359511111111111,0.2435995833333333,,,
LAlanine200,0.16779333333333332,0.2605688888888889,0.2446166666666667,,,
Ribose100,0.5597005333333332,0.5612058974358974,0.5669485333333333,,,
Ribose10,0.3407444444444445,0.3471369696969696,0.3468880952380952,,,
Ribose200,0.6507954166666666,0.6497214285714286,0.6551792592592592,,,
Sorbitol100,0.6554581481481481,0.5981079166666666,0.4980977777777778,,,
Sorbitol10,0.6441266666666666,0.6322479166666667,0.3803823333333334,,,
Sorbitol200,0.52357,0.5298006060606061,0.5316842424242423,,,
galactose100,0.7158698765432099,0.7113538461538459,0.6682333333333332,,,
galactose10,0.6879276190476189,0.6222,0.6780866666666667,,,
galactose200,0.5483732203389831,0.5311728682170542,0.5152842276422764,,,
glc0.4,0.6387266666666667,0.7151635555555553,0.6591644444444444,,,
pyruvate100,0.7211783333333333,0.7354266666666666,0.7406922222222222,,,
pyruvate10,0.2264519298245614,0.21473684210526311,0.2485615873015873,,,
pyruvate200,0.36723333333333336,0.2823238888888889,0.16074499999999994,,,
uridine100,0.15468285714285712,0.1343438095238095,0.16363333333333333,,,
uridine10,0.14024583333333335,0.14992190476190473,0.13604380952380954,,,
uridine200,0.09860148148148146,0.09908666666666667,0.09290133333333332,,,
Deoxyadenosine1.2,0.02870820512820513,0.025529855072463768,0.025198222222222226,,,
Deoxyadenosine12,0.0603569696969697,0.05819030303030302,0.07056296296296298,,,
Deoxyadenosine24,0.11817777777777776,0.22103555555555554,0.2337043137254902,,,
Dglucosamine100,0.8560883333333332,0.8221857142857143,0.8310122222222222,,,
Dglucosamine10,0.9262037037037038,0.8806146666666665,0.8385342857142858,,,
Dglucosamine200,0.472410731707317,0.5056066666666666,0.5128950724637682,,,
Inosine0.8,0.06366190476190475,0.06002222222222223,0.06097185185185186,,,
Inosine16,0.2448388888888889,0.21765238095238093,0.22718,,,
Inosine8,0.1883975,0.1956233333333333,0.17738333333333334,,,
Thymidine20,0.3496916666666667,0.4531644444444444,0.38921999999999995,,,
Thymidine2,0.142332,0.12706666666666666,0.14341666666666664,,,
Thymidine40,0.314184,0.26458200000000004,0.2540106666666667,,,
dulcitol10,0.1969911111111111,0.18884333333333336,0.194969696969697,,,
dulcitol50,0.21013777777777776,0.22466484848484847,0.1897444444444444,,,
dulcitol5,0.18960352941176475,0.1940411764705882,0.18530777777777774,,,
glc0.4,0.8716666666666666,0.8413566666666666,0.6138088888888888,,,
propionate100,0.03333555555555555,0.036065925925925925,0.05493142857142856,,,
propionate10,0.04054549019607843,0.046162,0.05243000000000001,,,
propionate50,0.04517904761904762,0.046441666666666666,0.047766666666666666,,,
Acetate100,0.09806000000000001,0.09279666666666664,0.0884142857142857,,,
Acetate10,0.2888744444444445,0.2133171428571428,0.20805185185185185,,,
Acetate200,0.04789333333333333,0.0483569696969697,0.055877777777777776,,,
DAl100,0.3067026666666667,0.31589222222222224,0.34530000000000005,,,
DAl10,0.2952077777777777,0.2587052380952381,0.31004000000000004,,,
DAl200,0.18719904761904765,0.16935,0.1558422222222222,,,
Maltose100,0.47214799999999996,0.4652325,0.48471435897435905,,,
Maltose10,0.6222995238095237,0.6816946666666667,0.6523155555555554,,,
Maltose200,0.3363252380952381,0.3302298039215687,0.3241496666666667,,,
Mannitol100,0.623494,0.68082,0.6449672727272727,,,
Mannitol10,0.5603941666666666,0.5642564444444443,0.618520606060606,,,
Mannitol200,0.6030575,0.6095233333333333,0.4544296296296296,,,
Succinate100,0.5235373333333333,0.5116673333333334,0.5228486666666666,,,
Succinate10,0.2047938888888889,0.24261999999999997,0.21631538461538466,,,
Succinate200,0.2778007407407408,0.19799407407407407,0.17523111111111112,,,
glc0.4,0.8055541025641026,0.6596616216216216,0.6084315384615384,,,
xyl100,0.5869949999999999,0.6357266666666667,0.6245777777777777,,,
xyl10,0.7421079365079364,0.6821497916666667,0.6533996396396395,,,
xyl200,0.4976619819819821,0.5704826666666667,0.5534776068376068,,,
Fru100,0.6776466666666666,0.6140166666666667,0.5767183333333332,,,
Fru10,0.5916855555555555,0.6085788888888888,0.6196177777777777,,,
Fru200,0.483798787878788,0.5128166666666666,0.5206051851851852,,,
Fum100,0.15691666666666665,0.17738666666666664,0.16310666666666665,,,
Fum10,0.446615,0.4429133333333333,0.4720644444444445,,,
Fum200,0.022612549019607842,1.2355,0.026977272727272728,,,
Glc0.4,0.4927001111111112,0.7795688172043009,0.7658755555555555,,,
Glu100,0.7760707692307693,0.7565368888888888,0.7499090476190474,,,
Glu10,0.4420490196078432,0.4330478431372549,0.4752871794871796,,,
Glu200,0.6495763888888889,0.6536445333333333,0.6548485416666666,,,
Gly100,0.5619206451612903,0.503052761904762,0.5836276190476191,,,
Gly10,0.4209630000000001,0.40407128205128207,0.40440358974358975,,,
Gly200,0.4599745977011494,0.4943620238095239,0.5138586206896553,,,
pro100,0.027659629629629628,0.026131515151515152,0.0287975,,,
pro10,0.04512055555555555,0.041959393939393935,0.03849533333333334,,,
pro200,0.03726866666666667,0.04361,0.043911851851851855,,,
tre00,0.38493272727272737,0.2913537777777778,0.3981853333333333,0.2978112820512821,0.3943115151515152,0.31591925925925923
tre0,0.5727866666666667,0.5617090909090908,0.5719138888888888,,,
glc100uL,0.4971432520325203,0.5602819753086419,0.5608944444444445,0.5374426666666667,0.5751431111111109,
glc10uL,0.1884915447154472,0.18859166666666666,0.15685882352941175,0.16417777777777776,0.18595571428571428,
glc20uL,0.29588400000000004,0.29475450980392154,0.2696186666666666,0.24626245614035086,0.2552937254901961,
glc30uL,0.38745125,0.32048385964912285,0.3323009523809524,0.4156793333333334,0.3197933333333334,
glc40uL,0.4515870370370371,0.3916882352941176,0.3681633333333334,0.39650428571428575,0.3535224561403509,
glc50uL,0.5013726666666666,0.4594423529411764,0.4553746666666666,0.4134225,0.4167466666666667,
glc60uL,0.4821940350877193,0.47387959595959606,0.43234740740740746,0.4579004166666667,0.4580314285714286,
glc70uL,0.5172917460317461,0.5284445614035086,0.4790063636363637,0.500853,0.4587336231884058,
glc80uL,0.5230422222222221,0.4619908771929826,0.4772670370370371,0.4598960784313726,0.4934844444444445,
glc90uL,0.4901553153153153,0.5281161904761904,0.5278826666666666,0.4833256140350878,0.4749298039215686,
