,R1
WT,0.41363214521499997
WT.1,0.403295510204
WT.2,0.416922380952
WT.3,0.40378554386
WT.4,0.404960212766
WT.5,0.40709875969000003
WT.6,0.41010091228100004
WT.7,0.408814621212
agaV,0.36762336182300004
agaV.1,0.35590566371699994
agaV.2,0.363797857143
agaV.3,0.362302315789
agaV.4,0.364331372549
agaV.5,0.36120861111100006
agaV.6,0.373063333333
agaV.7,0.370994505495
gltK,0.425402604167
gltK.1,0.412751129032
gltK.2,0.426235860215
gltK.3,0.41356738888899996
gltK.4,0.420950243902
gltK.5,0.41332631578900003
gltK.6,0.41691800569799997
gltK.7,0.423423563218
gspF,0.509651047619
gspF.1,0.414934653465
gspF.2,0.42413852564099996
gspF.3,0.41472789115599995
gspF.4,0.425309666667
gspF.5,0.41481930555600005
gspF.6,0.41646366666699997
gspF.7,0.411585154639
mtlD,0.40243929824600005
mtlD.1,0.397326049383
mtlD.2,0.41516747663599995
mtlD.3,0.40562839743600004
mtlD.4,0.403884197531
mtlD.5,0.402601830065
mtlD.6,0.404428073394
mtlD.7,0.40562810457500004
rarD,0.43301438202200004
rarD.1,0.394076632302
rarD.2,0.40681579288
rarD.3,0.397039037801
rarD.4,0.39616940000000006
rarD.5,0.39145848797300004
rarD.6,0.395216190476
rarD.7,0.399893971631
rsd,0.41248451977399997
rsd.1,0.41057701149400005
rsd.2,0.449030212766
rsd.3,0.40843084058
rsd.4,0.414788562691
rsd.5,0.40731899704999996
rsd.6,0.414215365079
rsd.7,0.41342148148100005
uxaB,0.394812328042
uxaB.1,0.400425333333
uxaB.2,0.405969747899
uxaB.3,0.407195333333
uxaB.4,0.40003424501400003
uxaB.5,0.401955735736
uxaB.6,0.416304166667
uxaB.7,0.40766617284
yagS,0.382550707071
yagS.1,0.387474343434
yagS.2,0.389579141914
yagS.3,0.39405201388899996
yagS.4,0.39447048689099995
yagS.5,0.39022094117600004
yagS.6,0.386194318182
yagS.7,0.39444984127
zapE,0.39104559748400003
zapE.1,0.393498027211
zapE.2,0.40211941747599994
zapE.3,0.39814138888899997
zapE.4,0.40114795698899997
zapE.5,0.393646595745
zapE.6,0.395554347826
zapE.7,0.39168710144900004
WT,0.31592444444400003
WT.1,0.30618020833299997
WT.2,0.30556034188000003
WT.3,0.29399372549
WT.4,0.311680683761
WT.5,0.294712612613
WT.6,0.293368794326
WT.7,0.290565
atos,0.346223760684
atos.1,0.363771818182
atos.2,0.359088095238
atos.3,0.355369457364
atos.4,0.355622325581
atos.5,0.352004273504
atos.6,0.359292868217
atos.7,0.361427008547
bglF,0.307272478632
bglF.1,0.30098571428599996
bglF.2,0.303752195122
bglF.3,0.297942807018
bglF.4,0.30073969696999997
bglF.5,0.291750406504
bglF.6,0.294816060606
bglF.7,0.29000984126999996
dcuA,0.302166315789
dcuA.1,0.29930462963000004
dcuA.2,0.299627666667
dcuA.3,0.29486018018000004
dcuA.4,0.29483066666700003
dcuA.5,0.289553859649
dcuA.6,0.292487121212
dcuA.7,0.2902185
eptA,0.298221818182
eptA.1,0.294759777778
eptA.2,0.295819791667
eptA.3,0.294556321839
eptA.4,0.289428444444
eptA.5,0.289682888889
eptA.6,0.283804040404
eptA.7,0.284858333333
eutQ,0.292031111111
eutQ.1,0.29437454545499997
eutQ.2,0.292640925926
eutQ.3,0.295291827957
eutQ.4,0.294127272727
eutQ.5,0.299052098765
eutQ.6,0.297842916667
eutQ.7,0.298461875
flgD,0.32155632183899996
flgD.1,0.318178611111
flgD.2,0.31776666666700004
flgD.3,0.31260373333299996
flgD.4,0.312254888889
flgD.5,0.31252641025600003
flgD.6,0.31173
flgD.7,0.312944040404
glf,0.438036767677
glf.1,0.340350222222
glf.2,0.343968421053
glf.3,0.322042882883
glf.4,0.322213846154
glf.5,0.319528468468
glf.6,0.320475042735
glf.7,0.317632520325
gltL,0.361734022989
gltL.1,0.364183636364
gltL.2,0.37833205128200004
gltL.3,0.37162787878799997
gltL.4,0.378559649123
gltL.5,0.36522962963
gltL.6,0.347546315789
gltL.7,0.333920606061
gnsA,0.30460809523800003
gnsA.1,0.311676410256
gnsA.2,0.31054074074099997
gnsA.3,0.306913846154
gnsA.4,0.305130344828
gnsA.5,0.307189135802
gnsA.6,0.302124946237
gnsA.7,0.297994509804
WT,0.338234567901
WT.1,0.332258730159
WT.2,0.325243111111
WT.3,0.323220740741
WT.4,0.32361999999999996
WT.5,0.313212
WT.6,0.314032280702
WT.7,0.313082380952
cstA,0.295837777778
cstA.1,0.294478333333
cstA.2,0.30390823529399996
cstA.3,0.29177761904800004
cstA.4,0.277683063063
cstA.5,0.275488172043
cstA.6,0.28076
cstA.7,0.282875185185
dcp,0.329292083333
dcp.1,0.335138518519
dcp.2,0.334924827586
dcp.3,0.329608205128
dcp.4,0.327815384615
dcp.5,0.3248
dcp.6,0.323841944444
dcp.7,0.320966419753
gltD,0.41030566666699997
gltD.1,0.41531824561399994
gltD.2,0.412339858156
gltD.3,0.41701483871
gltD.4,0.40852494623700003
gltD.5,0.40804720306500003
gltD.6,0.404450740741
gltD.7,0.41983543071199997
mprA,0.30875882352899997
mprA.1,0.313219583333
mprA.2,0.302978444444
mprA.3,0.313116944444
mprA.4,0.307354567901
mprA.5,0.31424521739100003
mprA.6,0.302854035088
mprA.7,0.30446799999999996
norW,0.30169192982500004
norW.1,0.300571400966
norW.2,0.324049565217
norW.3,0.311509230769
norW.4,0.307148541667
norW.5,0.30789819209
norW.6,0.30479130952399996
norW.7,0.306726071429
tyrB,0.282894166667
tyrB.1,0.282441010101
tyrB.2,0.28597862069
tyrB.3,0.29671304347800004
tyrB.4,0.292770243902
tyrB.5,0.281228292683
tyrB.6,0.285689803922
tyrB.7,0.283879354839
yggE,0.31264745098
yggE.1,0.317126021505
yggE.2,0.31316924731199997
yggE.3,0.31221025641
yggE.4,0.30926444444400003
yggE.5,0.30498897435899996
yggE.6,0.305501568627
yggE.7,0.305452083333
yicH,0.329722795699
yicH.1,0.331957971014
yicH.2,0.32402298850600003
yicH.3,0.320347816092
yicH.4,0.315958947368
yicH.5,0.30889763440900003
yicH.6,0.307105299145
yicH.7,0.31320020202
yicM,0.321010666667
yicM.1,0.324423589744
yicM.2,0.321845111111
yicM.3,0.325338717949
yicM.4,0.31836466666700003
yicM.5,0.3208248
yicM.6,0.318127816092
yicM.7,0.315677222222
WT,0.394327387387
WT.1,0.36430260162600003
WT.2,0.371061818182
WT.3,0.35011891472900003
WT.4,0.362745037037
WT.5,0.346943660131
WT.6,0.36734253333300004
WT.7,0.367749777778
appY,0.33185215189899997
appY.1,0.3609948659
appY.2,0.491350238095
appY.3,0.31358200913199996
appY.4,0.318769411765
appY.5,0.31714666666700003
appY.6,0.319292020202
appY.7,0.31261461187199996
gspL,0.339619615385
gspL.1,0.324317066667
gspL.2,0.33423869281
gspL.3,0.3292625
gspL.4,0.33451569444400003
gspL.5,0.326812173913
gspL.6,0.3255504
gspL.7,0.323286666667
lsrc,0.37351304964500004
lsrc.1,0.37207768115900003
lsrc.2,0.373254518519
lsrc.3,0.36674650793700003
lsrc.4,0.370945945946
lsrc.5,0.35847760683799995
lsrc.6,0.35647842105300004
lsrc.7,0.338194117647
ompL,0.372567350427
ompL.1,0.35585078947400006
ompL.2,0.358578666667
ompL.3,0.344876716418
ompL.4,0.35723957672
ompL.5,0.356246568627
ompL.6,0.36642385416699996
ompL.7,0.36746999999999996
ycaL,0.370493157895
ycaL.1,0.33604995555600004
ycaL.2,0.36921265700499994
ycaL.3,0.38343142857100004
ycaL.4,0.370705252525
ycaL.5,0.369723235294
ycaL.6,0.36447656565700004
ycaL.7,0.37168634408600004
yfiD,0.342568636364
yfiD.1,0.333514573643
yfiD.2,0.336387751938
yfiD.3,0.32541931972800003
yfiD.4,0.333470406504
yfiD.5,0.325574263566
yfiD.6,0.328192148148
yfiD.7,0.324880392157
yhbP,0.378719156118
yhbP.1,0.383508508772
yhbP.2,0.384830516432
yhbP.3,0.382218008658
yhbP.4,0.39028075117399996
yhbP.5,0.382976894977
yhbP.6,0.388530925926
yhbP.7,0.3877743379
yjfJ,0.324165157233
yjfJ.1,0.32921
yjfJ.2,0.329404964539
yjfJ.3,0.325536811594
yjfJ.4,0.333043111111
yjfJ.5,0.333226818182
yjfJ.6,0.33757555555600005
yjfJ.7,0.331737984496
yjfL,0.263625789474
yjfL.1,0.25743981981999997
yjfL.2,0.261509014085
yjfL.3,0.258938122066
yjfL.4,0.266193731343
yjfL.5,0.263934202899
yjfL.6,0.263686461538
yjfL.7,0.25711153439199996
Unnamed: 65,
Unnamed: 66,
Unnamed: 67,
Unnamed: 68,
Unnamed: 69,
Unnamed: 70,
Unnamed: 71,
Unnamed: 72,
Unnamed: 73,
Unnamed: 74,
