,Growth Rate,Lag Phase
A1,0.8152948883966601,-0.03116576443723673
A2,0.8121853050535565,-0.012610472122923877
A3,0.8495870056104015,-0.06598093414495632
A4,0.0,0.0
A5,0.0,3.5277236739397644
A6,0.0,3.058981638256295
A7,0.0,1.5455030718001517
A8,0.0,1.1170178882868953
A9,0.0,0.9144604385596047
A10,0.0,1.5376121230046778
A11,0.0,1.580946667508222
A12,0.0,0.9811853156022963
B1,0.8432756891081478,-0.08131552454729896
B2,0.7776841449072583,-0.02222552595434002
B3,0.7568960492416066,-0.03463470169427496
B4,0.0,0.0
B5,0.4642076094708336,14.787461397605547
B6,0.0,2.9372015308253197
B7,0.0,2.4460212425309535
B8,0.0,1.7024642073442742
B9,0.0,1.041553486846876
B10,0.0,1.365371328474339
B11,0.0,1.0202646288252666
B12,0.0,1.1540215038424186
C1,0.7428029541574587,-0.0123659944184219
C2,0.8077698742971704,-0.03285844359251644
C3,0.7969395178444055,-0.03327566081030697
C4,0.6960697776236342,-0.12437568030526303
C5,0.5716290586062388,-0.2503175821554017
C6,0.0,5.321633220281161
C7,0.0,2.33867848040353
C8,0.0,1.3344959451615104
C9,0.0,1.4239813564313053
C10,0.0,1.3496412922100482
C11,0.0,1.1946965319648868
C12,0.0,1.3847879829746361
D1,0.7902809152891543,-0.05352669860050763
D2,0.7525549264195136,-0.03862829905808274
D3,0.7509859577556792,0.0032361307273136575
D4,0.6910785440871772,-0.081646659027938
D5,0.5593457575733127,-0.27090179008685555
D6,0.18681131578577503,3.416905512151555
D7,0.0,2.362878649033764
D8,0.0,1.8097341920859726
D9,0.0,1.6240142639604151
D10,0.0,1.1285984951546162
D11,0.0,1.3315518816161322
D12,0.0,1.371022794836275
E1,0.7745236471109282,-0.05091357925920226
E2,0.7420364558970333,-0.036065232607903064
E3,0.7334339251522495,-0.022275814560218654
E4,0.7189000775866142,-0.00999600105603382
E5,0.6087732896557233,0.37068161885239137
E6,0.4736236091367426,3.124499473817365
E7,0.38900345612340215,15.77234960465318
E8,0.0,1.2912588683387547
E9,0.0,1.1271954302771263
E10,0.0,1.5633801777819443
E11,0.0,1.3160934176289736
E12,0.0,2.1813766884108716
F1,0.8112200217180949,-0.016336416775569185
F2,0.806384332033576,0.009853204980609931
F3,0.7834895058370515,-0.0022077815687255864
F4,0.9365154758822722,-0.15158631183837656
F5,0.6699684994358095,0.017728557655334543
F6,0.5020837812462825,1.4041898097801506
F7,0.30880359819684217,12.938095219211137
F8,0.0,0.8134742719033561
F9,0.0,0.9094943517523078
F10,0.0,1.132009951224429
F11,0.0,1.0506292614561161
F12,0.0,1.0886487314894318
G1,0.7698451507963188,-0.018946364440775798
G2,0.8284924476175648,-0.05942903006048328
G3,0.8664682310403131,-0.08314640860140043
G4,0.971716454916758,-0.16057021513813252
G5,0.9470606408046917,-0.1628221972387882
G6,0.7014170008425118,-0.3444399123186943
G7,0.3046874750284491,3.755982446832998
G8,0.0,0.0
G9,0.0,1.0568604259035013
G10,0.0,1.3057128159018667
G11,0.0,2.3613314007799673
G12,0.0,0.7140521086714102
H1,0.7506927348723224,-0.06617186633800287
H2,0.7297363847785295,-0.06273047845672419
H3,0.7779535395486171,-0.09936623085323304
H4,0.7251936805980017,-0.07278109593709248
H5,0.8608072781996181,-0.09067962135927521
H6,0.6704601054786,-0.01709790912748721
H7,0.5221059296278661,0.3274587030193814
H8,0.4219783351397873,3.984398034677344
H9,0.4580823692167777,17.02523466432808
H10,0.0,1.3256859960137888
H11,0.0,1.075345011813905
H12,0.0,0.0
