,Growth Rate,Lag Phase
A1,0.0,6.6665566628294
A2,0.0,4.872882111492535
A3,0.0,3.4954658561145067
A4,0.0,2.0773184751199913
A5,0.0,1.4219794187940415
A6,0.0,1.2390731946620726
A7,0.0,1.7501810451197315
A8,0.0,1.368508270627487
A9,0.0,1.7171914608583876
A10,0.0,1.0530840788139386
A11,0.0,1.6924302944797915
A12,0.0,1.4483196735697845
B1,0.0,6.207983551934733
B2,0.0,4.009683723202443
B3,0.0,4.10450253406729
B4,0.0,3.193103128679688
B5,0.0,1.7881415374916827
B6,0.0,1.7315361714327082
B7,0.0,1.7099618626993305
B8,0.0,1.3600141360038833
B9,0.0,0.9838025434863518
B10,0.0,1.027271788628724
B11,0.0,1.2181958428677433
B12,0.0,1.063693639929447
C1,0.4497903264038112,-0.36128254436996177
C2,0.0,7.642956614183303
C3,0.0,6.838055372266853
C4,0.0,5.575659652682791
C5,0.0,1.4702693407273806
C6,0.0,1.6520100084205147
C7,0.0,1.1630230841232567
C8,0.0,1.229434591140155
C9,0.0,0.9425607343577731
C10,0.0,1.099832644193235
C11,0.0,1.2563154850914842
C12,0.0,1.4551791393057698
D1,0.5873124464922828,-0.3494742480577383
D2,0.5420377834337566,-0.25559676347755256
D3,0.3226813398627092,7.225101981566214
D4,0.0,7.754871079538013
D5,0.0,1.2634349251587444
D6,0.0,2.0599745029637226
D7,0.0,1.4061882611694614
D8,0.0,1.201305899751297
D9,0.0,1.8338665060893504
D10,0.0,1.0510519614790965
D11,0.0,0.9455801967151167
D12,0.0,0.8744197322568752
E1,0.6372716365653209,0.47884129951050936
E2,0.5862505987673358,1.3683609534845713
E3,0.5743483380866751,2.324303808510024
E4,0.5453628904907564,4.201146341910054
E5,0.5081041330108371,6.822774124091403
E6,0.0,0.3867330948279317
E7,0.0,1.1041875570882844
E8,0.0,1.3025272672121169
E9,0.0,0.9542574955240255
E10,0.0,1.007283573522141
E11,0.0,1.0698865030952085
E12,0.0,1.499676801259433
F1,0.7338241478746264,-0.18086224849114596
F2,0.7087460994511405,0.42684507199154176
F3,0.6400738772821547,1.4649115389409522
F4,0.5710884308030248,1.5970730801178996
F5,0.4578501031974511,3.511257687525996
F6,0.44638045833745543,7.292021138633078
F7,0.0,0.0
F8,0.0,0.8828110739858417
F9,0.0,1.0723547268985776
F10,0.0,1.2053791833842524
F11,0.0,1.1928668333753443
F12,0.0,1.0373860064995277
G1,0.7436666667705658,-0.011070816298496267
G2,0.9444708960037821,-0.10696612569329622
G3,0.7730199372339316,-0.07666139605256261
G4,0.6940950801404252,-0.0504670462998571
G5,0.5875341318376605,1.0320611065050893
G6,0.5796239782230106,2.847929946585221
G7,0.3998467095869828,8.43905960665495
G8,0.0,0.0
G9,0.0,1.1383289546782507
G10,0.0,1.2863408259763283
G11,0.0,1.026670322895562
G12,0.0,1.1643347946746516
H1,0.906707633466792,-0.17681851064681786
H2,0.9169246252620021,-0.13918699850235672
H3,0.8750378159954129,-0.1928522245105888
H4,0.8326402652663152,-0.1266674301898052
H5,0.7867707181499755,-0.10906769333889055
H6,0.5132586584590327,0.4345115000102475
H7,0.5717668621727602,1.8514001834089318
H8,0.4327797741218053,6.469410612571912
H9,0.0,0.0
H10,0.0,1.7059127051825342
H11,0.0,1.7206312659631777
H12,0.0,2.0323554591939192
