,Growth Rate,Lag Phase,yield
Paac,0.5750122202249133,11.556405308072883,0.18319962962962963
Paac.1,0.5901649181952278,11.79400870454728,0.17412333333333335
Paac.2,0.601385818387594,11.77708881444211,0.17377797101449274
Paac.3,0.6073280448355002,11.70945017862147,0.17187523809523808
Paac.4,0.5989368504134147,11.84365699950644,0.17311473684210527
Paac.5,0.6117528054269173,11.92904955545292,0.16720333333333331
Paac.6,0.5798438160447887,11.826713914381166,0.17760444444444443
Paac.7,0.6947319924626472,12.071978475433024,0.1674776470588235
WT,0.504157071561433,2.094103778552931,0.3434017204301075
WT.1,0.48921913735970374,2.234156732256418,0.3189693333333334
WT.2,0.4863483720321882,2.180268876708189,0.3251472072072072
WT.3,0.4729327343402888,2.2566284478936245,0.31499809523809524
WT.4,0.47986549091645225,2.2692256523949346,0.3179238095238095
WT.5,0.4514577711108967,2.332637160055917,0.3072616666666667
WT.6,0.46228052651267737,2.3514389856802085,0.31020720720720724
WT.7,0.46577610445312023,2.3479554634161732,0.30958824561403514
yajQ,0.5340468741460351,1.6266884342936696,0.36266495726495723
yajQ.1,0.5234685535864657,1.71994356759686,0.3263607142857143
yajQ.2,0.5232399456196994,1.7050913339494769,0.36298837606837614
yajQ.3,0.5033682042949958,1.7345321253671515,0.3053098039215686
yajQ.4,0.48182005379079756,1.7537684724415352,0.3049288288288288
yajQ.5,0.4779180796407703,1.7758582162543797,0.29742407407407406
yajQ.6,0.4753204306963222,1.8159575092836797,0.2987099099099099
yajQ.7,0.492329263489287,1.7948947577889216,0.2990899047619048
ybit,0.5248941105704824,2.146678863705507,0.34706740740740744
ybit.1,0.5071823216675152,2.2073223380606186,0.34016839506172836
ybit.2,0.500556882659548,2.211741144297939,0.32828000000000007
ybit.3,0.48895968663799183,2.3314143584418674,0.32335812500000005
ybit.4,0.4624202802705109,2.2850397736128327,0.3235996296296296
ybit.5,0.4568024231926894,2.3310349963583654,0.31268392156862745
ybit.6,0.4734757137751057,2.3512814924206165,0.3129688288288288
ybit.7,0.47056368095710677,2.334803644224041,0.31085405405405403
ycaD,0.5187800469465375,1.7990989903901005,0.3501119607843137
ycaD.1,0.5047342711319955,1.8575913074174735,0.3224898765432098
ycaD.2,0.4979046653229879,1.8421087294757146,0.32150323232323236
ycaD.3,0.4845205011351035,1.90082496476249,0.3125586666666667
ycaD.4,0.47763253030911756,1.8933370994076695,0.3060856862745099
ycaD.5,0.40580453970407737,2.8414093459524157,0.30034444444444447
ycaD.6,0.46740974949110764,1.9528116256980819,0.29852129629629637
ycaD.7,0.503355558101617,2.098664005171406,0.2917205555555556
Yeha,0.5007251474099995,1.396469716532978,0.28422252252252256
Yeha.1,0.49039000475284344,1.3942862087801415,0.2703925925925926
Yeha.2,0.48624956857593843,1.391245561813967,0.27302414414414417
Yeha.3,0.4815368416956525,1.4017686007303087,0.2649291891891892
Yeha.4,0.4759129936942967,1.4031738638664173,0.26239
Yeha.5,0.47388131568600195,1.4450231477699993,0.2590443859649123
Yeha.6,0.4717631241853287,1.4869777243195563,0.2572595000000001
Yeha.7,0.4683698194671328,1.6533874880745159,0.26410916666666673
yfbM,0.47158327486829504,1.7025335172972387,0.3257649523809524
yfbM.1,0.462003975056053,1.685147632686856,0.33308
yfbM.2,0.4523849259316617,1.6689863542859262,0.31676461538461537
yfbM.3,0.45891632507308394,1.7406891501815815,0.3455874074074075
yfbM.4,0.49721953456666673,2.054049923099854,0.32312260869565224
yfbM.5,0.4443465943505365,1.713225149553176,0.31453999999999993
yfbM.6,0.4630905614569178,1.752701900599376,0.3147720987654321
yfbM.7,0.44236847418124836,1.7283475094075,0.3075326315789474
yfjo,0.5206145362753748,1.695055210578122,0.3187122666666667
yfjo.1,0.507285001834198,1.6172430599895908,0.30322644444444447
yfjo.2,0.5014840803194497,1.670356598371629,0.29581529411764707
yfjo.3,0.5035300753495643,1.6832903709613514,0.29940979166666665
yfjo.4,0.499213126599592,1.694517299974169,0.29360083333333337
yfjo.5,0.4881217463611329,1.6425182816792292,0.29290623655913983
yfjo.6,0.49903013336247354,1.6937690777737475,0.2970175925925926
yfjo.7,0.49700685388209126,1.662435571278373,0.29301176470588236
ygcQ,0.5410960869298806,2.025443945217235,0.3239841666666667
ygcQ.1,0.5336499793539577,2.061352263337568,0.3058378571428571
ygcQ.2,0.5198436465301793,2.0347360294324432,0.3219542424242424
ygcQ.3,0.5135236815520955,2.069394670289542,0.3026316049382717
ygcQ.4,0.5187389794167523,2.0776688852821197,0.29999483870967736
ygcQ.5,0.4993356209085126,2.0685087855650632,0.2935085714285714
ygcQ.6,0.48143452126219016,2.1165722212332776,0.2869015238095238
ygcQ.7,0.5036278297783644,2.1628862189153595,0.2888383908045977
