,Growth Rate,Lag Phase,yield
cstA,0.509980453294,2.77355801011,0.237041518987
cstA.1,0.501451404327,2.75657982065,0.233591466667
cstA.2,0.493490744171,2.79624243675,0.237743157895
cstA.3,0.492714518358,2.79064669816,0.232904957265
cstA.4,0.494291507252,2.79834827458,0.241650555556
cstA.5,0.483969680362,2.79014633796,0.234584675325
cstA.6,0.491463787319,2.80859347243,0.243723561644
cstA.7,0.486911948206,2.78936304794,0.242594907407
idnD,0.513431220647,3.01189538207,0.237538194444
idnD.1,0.504528232953,3.08696287849,0.229392592593
idnD.2,0.51666849479,3.10803267768,0.22797045977
idnD.3,0.503764937855,3.2166800491,0.240119047619
idnD.4,0.504606776276,3.15312156351,0.230895797101
idnD.5,0.498321486417,3.16641791491,0.236567356322
idnD.6,0.502905840889,3.13785593914,0.234211030303
idnD.7,0.492848492903,3.2568949898,0.225693678161
intG,0.528569519223,2.58960614138,0.286914380952
intG.1,0.517848071554,2.60620627079,0.285325846154
intG.2,0.516054830459,2.61545426281,0.286089791667
intG.3,0.50481429307,2.6216329116,0.285109846154
intG.4,0.51993262777,2.65402436698,0.282924086022
intG.5,0.503938270117,2.63137108715,0.28025374359
intG.6,0.517893578648,2.62010611364,0.288507692308
intG.7,0.512885022325,2.61725211825,0.281497171717
mprA,0.581196709966,2.68652914783,0.252436266667
mprA.1,0.577899278262,2.69050619075,0.258306666667
mprA.2,0.584492231084,2.82148124552,0.256483262411
mprA.3,0.571386080063,2.76216009416,0.249702028986
mprA.4,0.559724663262,2.69509222416,0.252764545455
mprA.5,0.565448166483,2.76458778951,0.251045555556
mprA.6,0.568043038748,2.73619695259,0.24962379085
mprA.7,0.557519066975,2.77606108199,0.25466
narD,0.527284334968,2.52261876712,0.273838577778
narD.1,0.509135376816,2.60985909582,0.269260995025
narD.2,0.516477269973,2.5920847403,0.270361642512
narD.3,0.502859481099,2.70904114876,0.263407222222
narD.4,0.499844255323,2.66498348769,0.264534179894
narD.5,0.484436081321,2.68200343541,0.263580555556
narD.6,0.490954245134,2.62163011291,0.263331384615
narD.7,0.483805833769,2.69701402136,0.262863615819
norV,0.521333304328,2.38933765232,0.272664227642
norV.1,0.510663908494,2.48855921409,0.266658967136
norV.2,0.50855575921,2.42499023064,0.265784414414
norV.3,0.496750719932,2.54589967111,0.264399047619
norV.4,0.490009001764,2.43137310899,0.265104776119
norV.5,0.479040953696,2.54239100738,0.262517555556
norV.6,0.492037629833,2.50987064389,0.264185196078
norV.7,0.481675139867,2.50620729449,0.267786878307
tyrB,0.482210742543,3.38887091566,0.266826530612
tyrB.1,0.471112876494,3.43470708801,0.259922898551
tyrB.2,0.468481411382,3.43594216611,0.259817481481
tyrB.3,0.469871630682,3.50924130894,0.259938181818
tyrB.4,0.465340623419,3.50549894686,0.260382380952
tyrB.5,0.46275770423,3.57544113615,0.255228939394
tyrB.6,0.461150393708,3.57402532278,0.257279545455
tyrB.7,0.457007477376,3.66958943112,0.253639689922
WT,0.514601531043,2.5826485092,0.272235076923
WT.1,0.498063432462,2.68242983897,0.285068888889
WT.2,0.498817088124,2.67951343199,0.263192935323
WT.3,0.486504051432,2.72872402483,0.265873567251
WT.4,0.498216404684,2.77601306629,0.267516770833
WT.5,0.487768552967,2.76504390355,0.264577126437
WT.6,0.489613314615,2.74913555196,0.26966344086
WT.7,0.493866286757,2.86812919151,0.271053333333
yeeW,0.522675221959,2.51783757629,0.284792814815
yeeW.1,0.51166247378,2.59280261583,0.274456862745
yeeW.2,0.515084480223,2.56747720087,0.278275426357
yeeW.3,0.496396730185,2.6160384995,0.273293846154
yeeW.4,0.501562831272,2.68143120741,0.275269794239
yeeW.5,0.493571171707,2.67238733555,0.275039912281
yeeW.6,0.499996868849,2.6478503487,0.275673415638
yeeW.7,0.483157175747,2.6516817244,0.274230714286
ygfO,0.538258880697,2.63031303275,0.303964166667
ygfO.1,0.528178161999,2.64509209919,0.300369425287
ygfO.2,0.511793003759,2.70321466063,0.301666338798
ygfO.3,0.516141917859,2.63328390521,0.299606448087
ygfO.4,0.519332211661,2.65246787671,0.299332903226
ygfO.5,0.505875469015,2.63420197377,0.296882146893
ygfO.6,0.515335454961,2.60560400763,0.300113555556
ygfO.7,0.503501587952,2.61773512562,0.292151666667
