,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1518711260.0,0.061173,0.059549,0.059746,0.060519,0.059871,0.059677,0.058537,0.056912,0.058914,0.061029,0.060484,0.059006,0.063833,0.059498,0.059454,0.059594,0.059763,0.065035,0.068817,0.061179,0.062495,0.058388,0.059333,0.061537,0.068295,0.061616,0.060488,0.062474,0.060603,0.060119,0.062428,0.060232,0.062022,0.065355,0.057906,0.066023,0.062921,0.060945,0.058508,0.058931,0.058832,0.059716,0.059019,0.059187,0.062643,0.068953,0.05805,0.059691,0.069354,0.062873,0.059577,0.066448,0.061288,0.061749,0.059857,0.059839,0.05867,0.059387,0.05872,0.061551,0.0637,0.060772,0.068982,0.061,0.061687,0.058877,0.05877,0.058909,0.060096,0.062593,0.066046,0.064186,0.072324,0.062964,0.060511,0.068021,0.061813,0.059288,0.059268,0.059794,0.05917,0.059203,0.058495,0.058429,0.062847,0.059474,0.059299,0.06198,0.063721,0.060876,0.059966,0.060783,0.059241,0.063154,0.064912,0.072352
1518712558.0,0.072878,0.070175,0.088447,0.069974,0.069318,0.069717,0.069347,0.065486,0.067408,0.065302,0.065099,0.065796,0.075542,0.069978,0.070485,0.070169,0.069395,0.067201,0.070573,0.06946,0.069906,0.066042,0.06678,0.067726,0.07972,0.07229,0.070637,0.070547,0.070567,0.069437,0.070783,0.06972,0.069325,0.068024,0.065007,0.06382,0.073924,0.070056,0.068329,0.068477,0.069731,0.06862,0.068818,0.067685,0.065397,0.070355,0.064574,0.065029,0.08297,0.071864,0.071393,0.070444,0.071914,0.069861,0.069062,0.072133,0.066778,0.065347,0.065688,0.063939,0.074808,0.069075,0.072864,0.076121,0.067196,0.068389,0.067622,0.067962,0.069003,0.066994,0.068126,0.066501,0.085468,0.073523,0.071821,0.078562,0.070865,0.0695,0.068989,0.069385,0.067845,0.067305,0.06667,0.065556,0.073995,0.072022,0.070353,0.068873,0.070147,0.069939,0.071435,0.071114,0.069166,0.071199,0.067852,0.077105
1518713850.0,0.080688,0.079941,0.078142,0.077698,0.076254,0.076342,0.070364,0.052818,0.046896,0.045467,0.045965,0.050003,0.085727,0.079797,0.078193,0.077993,0.076247,0.072261,0.072348,0.054293,0.048138,0.046326,0.048786,0.055448,0.089976,0.082161,0.079582,0.078081,0.084596,0.078115,0.073532,0.054412,0.048272,0.046813,0.04614,0.048059,0.083192,0.078226,0.077556,0.077271,0.077256,0.075118,0.070585,0.052778,0.046268,0.047421,0.04599,0.052663,0.089429,0.080699,0.077475,0.076874,0.076412,0.076042,0.078347,0.053437,0.047107,0.046612,0.046743,0.04807,0.083205,0.078108,0.07677,0.079304,0.076304,0.076006,0.075933,0.053079,0.049443,0.047722,0.048856,0.054234,0.092398,0.081886,0.07914,0.08311,0.078026,0.076239,0.07768,0.054885,0.047599,0.047049,0.046921,0.048652,0.087131,0.082107,0.081113,0.083975,0.081338,0.079902,0.081034,0.068631,0.054447,0.053655,0.051187,0.058864
1518715146.0,0.094776,0.090257,0.095192,0.087561,0.089935,0.078045,0.059358,0.052483,0.044956,0.044697,0.043903,0.04488,0.096417,0.087665,0.087186,0.08716,0.086411,0.079687,0.060581,0.05105,0.046069,0.045218,0.044395,0.046152,0.099861,0.089559,0.090347,0.08863,0.087609,0.085295,0.064088,0.048098,0.045702,0.045439,0.043771,0.044078,0.09335,0.087903,0.084682,0.086065,0.083002,0.077777,0.059835,0.051209,0.04536,0.045711,0.044056,0.047191,0.097056,0.086578,0.088319,0.086109,0.085488,0.077933,0.060374,0.055105,0.045339,0.045184,0.04432,0.046176,0.094518,0.08654,0.085011,0.088498,0.083968,0.078023,0.05966,0.047283,0.046051,0.045731,0.046854,0.05359,0.10275,0.091679,0.090957,0.092566,0.085495,0.072698,0.058416,0.048366,0.045665,0.045275,0.044758,0.045394,0.098435,0.090873,0.09035,0.096267,0.091485,0.08498,0.064295,0.050963,0.052025,0.04831,0.046074,0.047453
1518716440.0,0.11623,0.10446,0.1084,0.10061,0.10392,0.080954,0.055124,0.051894,0.049775,0.049954,0.047675,0.043896,0.11657,0.10475,0.098595,0.099673,0.10081,0.07914,0.055727,0.051922,0.052007,0.050296,0.043869,0.046017,0.11212,0.10204,0.10477,0.10533,0.10296,0.083239,0.057883,0.046303,0.044901,0.044744,0.046797,0.042815,0.10841,0.098656,0.096728,0.098878,0.096761,0.075287,0.055102,0.051016,0.051892,0.047035,0.043292,0.04438,0.10907,0.099532,0.097818,0.10286,0.099073,0.081828,0.055601,0.053549,0.044288,0.044114,0.043622,0.043383,0.10674,0.096722,0.097273,0.10568,0.096725,0.074358,0.055104,0.048318,0.044783,0.044668,0.047351,0.055829,0.11295,0.1088,0.10199,0.1078,0.096204,0.072205,0.059216,0.046088,0.046762,0.044083,0.047571,0.045643,0.11038,0.10436,0.099334,0.10376,0.10241,0.09585,0.061009,0.047774,0.04533,0.046805,0.052205,0.052346
1518717736.0,0.14046,0.14024,0.16305,0.13558,0.12555,0.085243,0.05172,0.052329,0.051107,0.050574,0.042926,0.04343,0.1428,0.13439,0.12992,0.13439,0.1221,0.083809,0.052215,0.052865,0.051813,0.051021,0.043456,0.046125,0.13957,0.13309,0.13867,0.13414,0.12224,0.089365,0.060089,0.050304,0.047909,0.051579,0.04328,0.042632,0.13662,0.13343,0.12935,0.12787,0.11584,0.079887,0.058899,0.052629,0.050977,0.044073,0.042891,0.046842,0.14472,0.13436,0.13005,0.12822,0.11906,0.081365,0.051772,0.052677,0.044693,0.044744,0.043142,0.044247,0.13593,0.12747,0.12891,0.13066,0.11869,0.079808,0.052466,0.052255,0.044202,0.044228,0.046044,0.054632,0.14311,0.13464,0.13252,0.13749,0.11919,0.073153,0.056064,0.048496,0.050536,0.0438,0.044581,0.043382,0.13485,0.13142,0.12119,0.12861,0.1277,0.11159,0.065596,0.046242,0.044794,0.045484,0.051915,0.050491
1518719028.0,0.16658,0.16048,0.16461,0.15632,0.15753,0.090435,0.057287,0.051516,0.05063,0.050138,0.043141,0.042742,0.16762,0.15525,0.15076,0.15628,0.15169,0.093943,0.057706,0.052256,0.051267,0.050659,0.043075,0.046176,0.16721,0.15204,0.15782,0.15391,0.15001,0.097233,0.059554,0.05205,0.051336,0.050951,0.042407,0.041845,0.15916,0.14742,0.14846,0.14707,0.14341,0.086514,0.056471,0.051944,0.050413,0.050962,0.042437,0.045587,0.16705,0.15124,0.14929,0.14484,0.1469,0.096058,0.057285,0.052001,0.050799,0.047848,0.043209,0.047945,0.16369,0.14957,0.15259,0.15251,0.14694,0.083746,0.057032,0.05159,0.043634,0.043547,0.04496,0.047341,0.16851,0.15644,0.15343,0.15842,0.14613,0.082112,0.054786,0.052207,0.050887,0.043308,0.042913,0.04281,0.16035,0.15495,0.15394,0.16152,0.15869,0.13798,0.076104,0.045165,0.046624,0.044934,0.051446,0.049064
1518720324.0,0.18954,0.18289,0.19273,0.18088,0.18342,0.10153,0.056255,0.050898,0.050302,0.049854,0.04988,0.04274,0.18885,0.18139,0.17333,0.18002,0.17843,0.11274,0.056294,0.051746,0.05092,0.050513,0.050297,0.051344,0.19271,0.17722,0.1802,0.18218,0.17848,0.11281,0.05836,0.051711,0.050899,0.0506,0.049891,0.041815,0.18582,0.17617,0.17554,0.1757,0.17244,0.102,0.05557,0.051498,0.050221,0.050777,0.042402,0.04475,0.20001,0.18203,0.17717,0.17637,0.17828,0.11231,0.056297,0.051549,0.050576,0.050381,0.048372,0.045505,0.19844,0.18117,0.182,0.185,0.17533,0.097962,0.055824,0.051252,0.050821,0.050836,0.043431,0.046907,0.20501,0.18962,0.18321,0.1928,0.182,0.094623,0.053932,0.051871,0.050618,0.042835,0.045294,0.042509,0.19321,0.1796,0.17582,0.1834,0.18822,0.17163,0.083658,0.044983,0.051102,0.044913,0.051026,0.046017
1518721618.0,0.21356,0.22018,0.20769,0.20294,0.20313,0.11458,0.055784,0.050844,0.050183,0.049724,0.049787,0.042564,0.21404,0.20175,0.19621,0.20406,0.20111,0.12454,0.055863,0.051469,0.050767,0.050391,0.050368,0.046855,0.21629,0.20557,0.20545,0.20759,0.20571,0.1255,0.057931,0.051398,0.050881,0.050451,0.049615,0.041701,0.21129,0.20287,0.20326,0.20383,0.20352,0.11738,0.055055,0.05119,0.050055,0.050622,0.049985,0.049963,0.23223,0.21233,0.21049,0.21225,0.21246,0.12156,0.055559,0.051276,0.050952,0.050482,0.049996,0.049894,0.23242,0.21278,0.21455,0.23739,0.21702,0.11799,0.055051,0.051163,0.050899,0.050812,0.04485,0.054492,0.25698,0.23245,0.22354,0.23689,0.22226,0.11165,0.053472,0.051644,0.050581,0.043078,0.045435,0.042679,0.23453,0.22065,0.21437,0.2226,0.22433,0.20151,0.094069,0.051943,0.051145,0.045108,0.051002,0.05092
1518722914.0,0.22483,0.26836,0.2548,0.22154,0.22432,0.12965,0.055226,0.050467,0.049931,0.049489,0.049488,0.042198,0.22766,0.22166,0.21521,0.22478,0.22104,0.13592,0.055389,0.051298,0.050565,0.050209,0.050201,0.044439,0.23996,0.23194,0.23069,0.22893,0.23509,0.13749,0.05733,0.051097,0.050451,0.05017,0.04937,0.041578,0.24347,0.22901,0.22424,0.23071,0.23113,0.12532,0.054388,0.050951,0.04984,0.050392,0.049635,0.050293,0.261,0.24204,0.24006,0.24301,0.24108,0.1346,0.054937,0.051067,0.050259,0.050526,0.049686,0.049424,0.26334,0.24659,0.24154,0.2551,0.24121,0.1343,0.054066,0.050836,0.050439,0.050377,0.04522,0.052796,0.29292,0.2797,0.26656,0.27825,0.25876,0.13719,0.052892,0.05118,0.050255,0.042725,0.045902,0.042255,0.2834,0.26682,0.26014,0.26583,0.27126,0.25177,0.10888,0.051812,0.050924,0.04505,0.05085,0.046461
