,Growth Rate,Lag Phase
A1,0.5461810937747159,15.991475261003362
A2,0.0,5.47504919371371
A3,0.0,4.6406010875499195
A4,0.0,4.147178168935596
A5,0.0,2.386704729012088
A6,0.0,2.292741288649676
A7,0.0,1.7357585141645338
A8,0.0,1.435168909349219
A9,0.0,1.6020082647896245
A10,0.0,1.0621280951880898
A11,0.0,1.2496640560957886
A12,0.0,2.050486330554051
B1,0.49411446976735035,0.049279733499241196
B2,0.0,0.0
B3,0.0,0.0
B4,0.0,6.538767105628811
B5,0.0,4.261200552733758
B6,0.0,3.0720395404807697
B7,0.0,2.3674081251365884
B8,0.0,1.8126121879311192
B9,0.0,1.7486146310904402
B10,0.0,1.5551531661574458
B11,0.0,1.2453636718655439
B12,0.0,1.1620391486952641
C1,0.590927855700973,0.06690344352253597
C2,0.6059363768951634,0.34109165164869726
C3,0.6160592607019817,-0.2958640572486232
C4,0.425245049391206,0.13786770319988317
C5,0.0,0.0
C6,0.0,3.340474325879928
C7,0.0,2.9835439982981917
C8,0.0,1.89739232419684
C9,0.0,2.0636783799802885
C10,0.0,2.2621939152021326
C11,0.0,1.295981369962469
C12,0.0,1.3622039474863605
D1,0.618566065406969,-0.019310638432175287
D2,0.6299489335259845,0.017383353762231213
D3,0.5926546310212962,-0.25638333633920063
D4,0.5344805492008637,0.7703269865290285
D5,0.39456436740691553,1.759349378686979
D6,0.0,5.701786185252551
D7,0.0,2.3573637128005345
D8,0.0,1.6078114111984867
D9,0.0,2.2877393974725244
D10,0.0,1.834151083656785
D11,0.0,1.1638810216029896
D12,0.0,1.7463474639562442
E1,0.6445566482537184,0.11174172279200478
E2,0.6601430287905216,-0.014097164017102592
E3,0.6928463529589096,0.4077689163073943
E4,0.6147682802957459,0.5648991819098637
E5,0.5781618708975031,1.5809364824548657
E6,0.49966387513800126,4.4072765741538165
E7,0.0,2.1637767980549327
E8,0.0,2.0250661241189647
E9,0.0,1.6319474601283162
E10,0.0,1.1972262795077988
E11,0.0,1.9505138441934093
E12,0.0,1.413724909929769
F1,0.7501571094729127,-0.0724517748306307
F2,0.6696456269355376,-0.0750431968388906
F3,0.6399922707741913,0.1052236230648429
F4,0.6752645319275428,0.3641091765610458
F5,0.567186265279107,0.6585896914845941
F6,0.5067416059126756,2.974248169141362
F7,0.0,2.737787312036513
F8,0.0,1.8506749811388978
F9,0.0,2.1241079930508526
F10,0.0,1.2876496921780216
F11,0.0,1.7829633076021523
F12,0.0,1.589603637815248
G1,0.8064099572514138,-0.05296555148643822
G2,1.0005900711207807,-0.11718124190710366
G3,0.9917819850269787,-0.1468170012144493
G4,0.9015439843392873,-0.1517015137477521
G5,0.7667130882249752,-0.12705332160128946
G6,0.5301801951497701,0.5761104341313223
G7,0.31734989681061565,3.9490085812916207
G8,0.0,1.3736277204337135
G9,0.0,1.4347061045022436
G10,0.0,1.2746788056505203
G11,0.0,1.3695960996797787
G12,0.0,1.4256638382112357
H1,0.7750181164378396,-0.1007372815045745
H2,0.8657314095638641,-0.1769612281635825
H3,0.8785536230387601,-0.09793615659755439
H4,0.9130965328725514,-0.12927235826531203
H5,0.8319473254623373,-0.1965282039444025
H6,0.600884613275222,-0.15813787340203578
H7,0.5738311352045007,0.9951367912620332
H8,0.37540993635662884,3.526039863889359
H9,0.0,1.7476054188348584
H10,0.0,1.702112890906001
H11,0.0,1.6882002270601149
H12,0.0,1.656421586269314
