,growh_rate_R98,growh_rate_R97,growh_rate_R92,lag_phase_R98,lag_phase_R97,lag_phase_R92,mean_exp_dGFPdtOD_R98,mean_exp_dGFPdtOD_R97,mean_exp_dGFPdtOD_R92,mean_sta_dGFPdtO_R98,mean_sta_dGFPdtO_R97,mean_sta_dGFPdtO_R92,mean_max_dGFPdtOD_R98,mean_max_dGFPdtOD_R97,mean_max_dGFPdtOD_R92
A1,0.5746646144731441,0.5747322203081968,0.6904645970578378,3.3247201544936384,3.3691936327721357,1.0165773142554346,824.6690161935588,891.7274164245943,14358.029882527184,-16.70661278774612,-318.0105211791042,3446.27404687861,1265.082655610486,1367.9202944080482,24687.78587251299
A2,0.5428453240383919,0.5551153981913682,0.6250811111611533,3.5104018401895827,2.942573319619198,0.8452901227907996,1505.796750611956,3080.257978843457,32014.132216787755,-33.515673646739444,572.0248449553706,10965.771113489109,2513.7902169947074,5668.109066263509,57140.293382171345
A3,0.5390871219284274,0.6054035594719611,0.6479095185777514,3.740789809505027,3.080672447725684,0.8025666460001373,1577.3216681089398,2898.353095737918,32063.08070129103,-26.656184713851253,211.3727610979622,10366.589664026444,2559.1482649842364,5051.866434466586,54688.487024862356
A4,0.5322581692801872,0.5925057264450613,0.684069596828536,3.6471123549590088,3.02363837977629,0.8424957098578689,1555.8460111662696,2937.1723660042194,28925.403714905602,-108.64948941636416,-10184.85089848218,9582.458452831292,2796.7454047558163,5152.132998745314,50096.538137451935
A5,0.6378936170060362,0.609864105699281,0.8132685622696574,3.476672925959943,4.18820054185325,1.4995692882600515,817.5079673386908,818.4592592596459,16760.018228961628,-28.213325529662352,-62.895257802101554,3214.2084747718154,1037.2661203030812,971.1937589954351,18184.62400336844
A6,0.6848016142797104,0.647423359025016,0.8896617862223857,3.6323518299080573,3.99588593840654,1.4186948458324713,820.7104577510268,799.0558313151387,15312.482679933119,-53.653763135749124,-21.14585982694393,1853.859589129485,994.4751381215499,949.8402274926013,17186.7098068332
A7,0.7210437387679551,0.659110104178424,0.875547833870182,4.097762308042601,4.268500987782378,2.3317925034605684,891.6214367011593,760.1672884564215,10004.286903525677,-10.116850170059852,-353.7842177658616,-464.4887462190923,1003.873261794403,914.6067011144551,12135.593495664027
A8,0.5277651312047882,0.5759910558325483,0.6295657465865068,3.433063784612222,3.3258773700666002,0.7847080836960818,865.4748418792338,1044.2358876895398,13630.218559253179,-24.162206674474426,-368.5725876550718,1158.4312794143584,1432.9865494275944,1552.1130997142482,25738.31610874036
A9,0.6166383328300744,0.5728776665679328,0.6069405484545817,3.2155556165290733,3.280144018038871,0.7629448312448779,787.0523357175665,950.4793868032491,14370.95679075958,-23.35168292822092,-334.60833733053533,1303.2821513778345,1256.663462378751,1473.9897365310724,25412.045090722506
A10,0.875230770136439,0.8458604065980666,0.8103173774120026,3.6333797292546155,2.9897294323752135,1.0088110314900949,35.17619230435346,38.58068222055681,398.9679420731708,1.4250191297789359,6.462300190585554,84.75488298963047,101.10371556154672,174.13007516614906,946.388956311753
A11,0.8692767445101857,0.8237889695331373,0.8135715018582642,3.6300670969067803,3.0330098615092433,0.9490535406938103,37.24240472020766,36.127232263381735,399.3697192247642,1.403648110241793,5.891166376732584,91.19139796714724,90.96798202693235,115.22562617926229,890.4179452827788
A12,0.8530657259235558,0.8191708300928846,0.7784959795946869,3.682509873276209,2.9666678288522994,0.9216370421297717,38.15086497785925,35.90525446316085,408.5464648956458,1.3078103288947645,5.809490034236555,76.36355594130559,185.73760342207467,167.53805713625465,890.2984339055366
B1,0.0,0.0,0.7328717170370773,0.9661865108373817,1.1615733524662915,4.54068859312623,0.0,0.0,3942.9311546699037,0.0,0.0,1188.0944676701506,0.0,0.0,12695.554425901615
B2,0.0,0.0,0.0,0.11215925026197482,5.594917314136154,1.5227308236021813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3,0.0,0.0,0.0,0.6119777237417452,1.6549572956265024,1.5477675262105173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4,0.0,0.0,0.0,0.0,5.472796781703963,1.5283315167155216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5,0.0,0.0,0.7388216982227334,1.1814924890042988,1.0134913557787826,4.304520048276536,0.0,0.0,4065.892954951016,0.0,0.0,1136.0084797584034,0.0,0.0,12157.266653587038
B6,0.0,0.0,0.7206874598310692,0.0,7.063273054114447,4.13866928778101,0.0,0.0,4208.931199354783,0.0,0.0,1072.6180240074525,0.0,0.0,12101.70509235753
