,growh_rate_R98,growh_rate_R97,growh_rate_R92,lag_phase_R98,lag_phase_R97,lag_phase_R92,mean_exp_dGFPdtOD_R98,mean_exp_dGFPdtOD_R97,mean_exp_dGFPdtOD_R92,mean_sta_dGFPdtO_R98,mean_sta_dGFPdtO_R97,mean_sta_dGFPdtO_R92,mean_max_dGFPdtOD_R98,mean_max_dGFPdtOD_R97,mean_max_dGFPdtOD_R92
B7,0.5779812390689557,0.5585442024077544,0.640261722185413,5.280397019569114,4.9830719393846366,1.2405577037124311,869.8622917429307,993.4108120268834,14432.751047218682,-78.90116639483392,-495.5327682217069,6012.368000117608,1274.519030397538,1378.4692464895422,24384.266068401816
B8,0.6147803197832657,0.5641975970160322,0.7005171719147127,5.271722855100169,5.075024432288618,1.3336775089317903,823.2308393138555,996.223823763568,14012.995786719775,-66.16221362704609,-544.0127025236642,3196.7043197835324,1191.5984765639646,1311.582381729192,22913.7405799443
B9,0.7661438934575739,0.7952438331816055,0.7380025420469403,3.5320110885085394,2.9311998704615743,0.9091887342033993,1641.2180476846995,1921.6866911008956,31855.59183253894,-281.6448382773943,-213.73274480740753,0.0,4442.136826124901,6769.4928520454205,69677.38871841347
B10,0.7904361586442715,0.835482043380514,0.6905489046112733,3.5560377129280116,3.1923842273053076,0.8474835766661943,1558.9461556751933,1956.1162335478539,30830.129222686897,-32.66062027355324,-1329.9042275108013,0.0,4974.044606756245,6900.470892863305,71764.23010111084
B11,0.6202422714390672,0.5794795235469835,0.6866710572463686,5.498092190260788,5.296460174275834,1.329070650717596,794.0305084470507,901.4655351820713,13235.883053842252,-83.64825595661854,-308.9286832829912,4019.114380338418,1136.6277904693115,1216.9363433775716,22290.3370842679
B12,0.7868090043036874,0.847840049976552,0.6878464637055722,3.6966472115739673,3.2248967009407044,0.8348444765264194,1650.4684725604648,1994.085404648169,31787.25388411817,-275.32733869778843,-1152.1460359367381,0.0,4349.646121102359,6992.595383003549,74092.57463446065
C1,1.0251935440184479,0.589339906854426,2.0601543986148365,2.778213680156454,2.438547209389307,0.7955448709996177,2.5902843746131317,6.877416239393817,144.89360245424484,-92.24804539705836,-312.04438397680354,2888.764806891905,1122.5059653754306,998.1009583535687,16334.984231528504
C2,0.658070108171511,0.6012695835829377,0.664793648568897,6.614944457031077,6.009061164196556,1.442617151348804,754.836960110419,794.10104679067,12045.4506757991,1.671986940429901,-43.73842747150716,2727.564626223308,1198.8428158148427,1108.7616070607633,19420.66904685713
C3,0.6773939153387323,0.6485338553641589,0.6822729645170305,6.791100119592556,5.855102260497601,1.4578199020923324,791.9373452901843,840.1099631527305,11861.84143064988,-93.67973181970491,-48.014963251365415,2742.6428514894246,1192.207109698562,1157.7329945038634,18836.359584513455
C4,0.5811191938868551,0.5512305996066506,0.6930637412964095,3.345479536674599,2.745210532711118,0.8479032684025688,1767.517831191279,2670.521070146066,23406.577908510983,-25.932214598263677,-1535.7503237382746,3685.758066326558,3689.6910138902135,5280.03804290396,61322.88392532052
C5,0.5601602846929767,0.5353342375663267,0.7436749886919565,3.324328052265654,2.7215191879165115,0.8282300794566837,1656.433386714342,2719.773356843978,20846.384762886424,-30.62512273187535,-1741.4606534466152,4510.550654935813,3169.654299024569,5315.210118212013,59456.472235324974
C6,0.5273814115675826,0.580217008749887,1.1378942154611849,3.1314624920806664,2.7477176176470985,1.3960057026374924,1634.2118196810081,2581.9652161435815,13790.224939497106,-26.869354124176784,-264.4748434735882,4200.835722964322,3190.10932123391,5527.688681068151,35146.215215375654
C7,0.5859009803393517,0.6705900714582252,1.588892712709344,3.206465680136614,2.9982422628830947,1.2496982748804704,1681.5114482420547,2711.626160213614,6683.727840866489,-31.068750687277745,-513.3915837849098,-13205.889585234698,3767.938355680157,6632.404031123511,176904.14915038916
C8,0.6219672158818462,0.6700851539835716,0.661067084251637,3.3925854985642276,3.0386582074250366,0.7865064683909342,1779.172524910654,2750.1190671063564,27686.70154728025,-25.23373259684909,-408.4078159402103,4339.457724875438,3835.1676173172427,6373.009310791501,64302.79691486108
C9,0.616122584466863,0.638242558273555,0.700082633629182,3.3217653739334603,3.105928134325988,0.7837549556462615,1749.0655908277558,2696.565126087748,23125.64976244049,-35.05856024372764,-814.7882967001981,-73953.03854716747,4181.952239794166,6175.117730807165,198913.14626937773
C10,0.5797327771065645,0.6156424994307926,0.7474628075008474,3.0358265940349263,3.314079489404145,0.8904392603772109,886.9702410334073,1056.1533547612808,12495.667414919015,-19.984245238384556,-74.4729774683645,1238.7879909582277,1354.4333255759882,1513.3028300288133,25115.91923519118
C11,0.5794249995059547,0.5676767265249587,0.7791103201115452,2.9752392197553212,3.158323464295928,0.9093464188192917,862.2798765485549,1040.3934792111802,12241.305425716377,-25.51827759107298,-43.91167374296853,1157.1121502586514,1498.839974902606,1618.5710523345558,25148.858612102886
C12,0.576921006012896,0.6256452047984602,0.7329577043887235,3.8365663503368714,5.248847494192184,1.5577275221141056,995.8852997423315,1037.5483965469157,20837.511603704206,-54.085119778740854,-10.51426684760505,1698.7683758727806,1153.307392996113,1268.445308866437,22552.545667871032
D1,0.6166151539104495,0.5623827586902846,0.7611311106640346,3.917121966460627,4.765572494682411,1.4406065770606815,1085.008524632594,1007.9368811902829,19490.031387468443,-79.46125025652181,-10.313301937150861,894.5553895659201,1190.20919531341,1236.2637362637408,22127.46763861539
D2,0.5832973665642487,0.5963247872573653,0.7621393287293138,3.6010592611570247,5.265540740779597,1.6086495594365102,1002.1382846874623,913.5327903205243,20815.684952451622,-61.51690531023986,-15.331773031144621,2298.426601639999,1175.1403303315476,1055.2259095071206,23051.35900306584
D3,0.49823407100082423,0.6218162145141682,0.6648994253288442,3.51976161836412,3.505173388207183,0.8973323223899043,1746.9417409678501,3364.8299414579556,35080.56503864649,-150.24827942418864,0.0,12610.629049985595,2667.6598790968205,5419.030075325119,62457.91906388513
D4,0.5941775933127683,0.5685763536347243,0.691130521305455,3.073005749469274,3.1166583801320824,0.8954720223776866,850.89285294621,944.2628793491893,13508.830642534971,-18.531748035821643,-45.138739648277756,1636.339511194141,1290.7329767240183,1422.5880467640368,24993.077143758605
D5,0.547442000509717,0.6175250966779621,0.7549040589872738,3.671950497483997,3.3351499103765274,1.088741969701516,1873.8776373820144,3411.850095374517,33019.441909469315,-217.27186808849436,-4957.415186389407,13599.543835805096,3501.6362786348895,5455.134901480514,53389.72983163636
D6,0.5258446971259025,0.6904546908057614,0.7537086306524016,3.5787456152558472,3.639553740679417,1.0042738242984093,1867.418450326695,3044.115621709979,33156.58518274763,-198.30028033416323,-4179.511406966299,7169.167118523723,2967.5219730346125,5497.757385162677,59713.36388461726
D7,0.7462149642707288,0.8058448935629045,0.7250728039312957,3.589056502200386,3.2239991752762895,0.9735694430296247,1164.1386044363273,1227.21638728862,29227.862737151772,-268.08173010890624,-1882.9776492951553,0.0,4768.771124364123,6940.717900983212,70722.58812704516
D8,0.7290595382167975,0.7997270555161955,0.715564180792529,3.6032820349034034,3.214914274662778,0.8746070164076907,1146.2639957732463,1276.31840202263,25939.849287260226,-268.6599350485199,-357.1663218622093,0.0,4739.597554460752,6862.77020498914,64806.55099297763
D9,0.7040411137050478,0.8318395743226327,1.4262973619687969,3.5385439018138003,3.297371375106342,1.2053278796494529,1101.8164738173846,1406.1152856016326,4023.2247917741925,-189.20802655880092,-455.50400527747166,0.0,4940.957809305512,6794.5652057350835,46315.542498453295
D10,0.7633767335002598,0.79528374894823,1.5640184548384617,3.5013385392744145,3.35770942847076,1.1999899482663343,133.60242444338456,115.0733503454314,329.1238196427058,-62.26096612656258,-244.00731926996056,-745.9827749226837,2271.888358358248,2022.223450715912,21044.01701373762
D11,0.8371216047017046,0.9455335133063744,0.7624188062603855,3.7155691238277697,3.244052477561123,0.9883256735604746,116.49752853383174,53.84718483941026,6948.5852519401815,-54.231500001511755,-305.5626215280449,-5928.446126595733,2077.5596088222223,2277.3760386244426,29525.44958244088
D12,0.7903975578822667,0.8074511501105667,0.7624525176271533,3.6984461575005354,3.024707935425055,0.7972325870364275,122.01422007724416,134.39231770969724,4847.287140788612,-68.94025835647568,-253.3717243582634,-2496.8406891427358,2051.3163169851737,2071.7069820974416,29394.92057758266
E1,0.5535581579969926,0.47554497520979544,0.6946771530001669,20.387860884073245,16.303504783495683,2.641389832625998,721.0096206660298,585.5592234290729,9229.252770942981,-121.89280835853314,-1515.1921981684181,1009.1545374643446,1041.235472058604,900.2686285424004,15366.391642877848
E2,0.6507715254718959,0.4898457252453604,0.6788423321876876,30.738254063578037,17.08537725565219,2.631374287079872,454.1331521385561,584.1079240055279,8743.829401946436,26.230504488623392,-1370.4390847248187,857.9870664695296,848.2678931508467,1033.559831219694,15073.739633109019
E3,0.0,0.0,0.0,0.6660576062994394,3.730847417508759,1.7094054667554275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E4,0.0,0.0,0.0,0.0,4.349697946854022,1.6906607249056016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E5,0.8136947731605186,0.0,1.246395160567455,9.955341826534431,0.0,0.46816732306176456,50.229205514440466,0.0,121.98716906297219,1.4814669507607776,0.0,3820.9757648441723,138.92908827785715,0.0,12913.527045256396
E6,0.5863683059492046,0.0,0.6682625161710045,22.19851956080626,0.0,2.760253311804615,666.1700376988485,0.0,8678.231750344601,-57.832966891393546,0.0,1134.2194493672168,1005.0198011588811,0.0,14821.628882598447
E7,0.8941670691317376,0.8982105527186128,0.8503551066667103,3.7235991401626314,3.2339577821990586,1.0868537207544502,38.17356610909784,32.630460817746695,397.6451786761937,0.3690511872885522,-2.0949449430478047,-338.8991559934541,124.08804374164971,120.58550964125848,2472.9600318725024
E8,0.8843791274378193,0.8762073648589253,0.8171878544461677,3.7026318256511908,3.2568903894844445,1.0152492592360198,35.072973318236656,34.5801556489739,437.1083567347021,0.20989529278005384,-1.3182323095767288,-296.07435625420936,131.3541992445935,118.83456224497142,2050.903223668765
E9,0.8406760397347268,0.8781811608698368,0.8517153941613885,3.592584056640712,3.1251367452425534,1.0871190558459203,38.98507762252215,35.465012027316014,407.50460452145137,0.2951582638017613,-0.40143329170520475,-348.1468445683183,125.56825448499623,121.62548888676947,2344.0926762254708
E10,0.6218301373920774,0.5914264968283661,0.6757209265144444,3.511271628982136,2.8806847861172704,0.8372799867771946,1952.317543124928,3101.2726056057454,28748.078857835568,-35.21574744023953,-41.73455140264607,4155.4895579294,3450.331528681806,6466.082634749399,66847.6183236547
E11,0.5714361223558275,0.6110800103960323,0.6230279853446562,3.3090992465514115,3.0269701960774245,0.7586167536472344,1806.6076484140956,3090.3050153491295,30593.99689676136,-27.346822147320406,-75.78746317508472,4800.010710496254,3672.47789804182,6399.096992663087,64543.611933896325
E12,0.544211899283224,0.6124482194806928,0.6105524047318214,3.772386029826605,2.9408401979998238,0.8723338862985357,1952.3123616237306,2930.8081788422523,32079.62687334782,-28.673687174342803,-1538.8152089981706,5358.542478770061,3792.1411871181967,6075.683919550113,66277.14402806565
F1,0.6685178855280626,0.6998522267752764,0.725464188655304,3.068625048336665,3.127558039882147,0.7676785320804373,737.4230550866807,769.2201198410938,10193.994374644104,-16.10173165899005,-458.2337257207132,-109.44450011261107,1109.6884336320988,1011.7931408092718,16741.87879241429
F2,0.6565822451960626,0.6717623456218581,0.7957417034179937,3.0902010536290776,3.1563986689792927,0.8252584464641592,783.5403491013324,756.3600372665354,10579.219963197404,-10.72073404188331,-353.38815092870027,1285.4519452241955,1136.6660925928863,1024.0880935994528,16708.202077588834
F3,0.6502271367894643,0.6816823903569286,0.7845226844533414,3.019597326762545,3.0577612067315734,0.8678043394904056,704.8659525039649,729.1872617562113,10403.277559396905,-10.719759526299837,-346.5055879185551,276.2101628192931,1104.8158640226666,1014.7594252828598,17055.621869931954
F4,0.6089816736215663,0.601728162559804,0.6761797437783317,3.281449802429813,2.710151345424196,0.7477483259926097,1701.0648066539086,2764.6804271653477,27148.16032146514,-41.468341773862775,-22689.15394073497,5267.824094222878,3094.8975443773734,5209.554121181493,56487.71561446576
F5,0.6248703308232836,0.6682040403714201,0.683234824491755,3.2871264986806805,2.8262420000661534,0.756392746520297,1752.030902514386,2656.576366899443,28614.35514691927,-27.001128037679837,-5878.901218006814,4045.2064837000994,2943.714821763614,5336.797740078873,56199.37527200401
F6,0.6017430564299977,0.6039217692816455,0.648830617523712,3.3304884043264593,2.659679475386943,0.7566829253648013,1749.0128909023197,2752.786561346754,30300.77246595849,-28.246923257912986,-991.0128613695118,4296.33034398757,3034.1190044503164,5640.698944302895,60109.93861487584
F7,0.591396271567083,0.5514172936522207,0.6775657379092281,3.8878743602770167,3.7207972271409164,1.0443555623750942,800.684784649374,863.5549338959105,13139.546718278774,-24.658950069565858,-300.99739319261823,4227.696023594375,1237.838254567886,1307.8920355051043,23112.386508275024
F8,0.5875791167347406,0.5361440344835351,0.6528153543524379,3.884557822673359,3.6822332537162437,1.002687927351003,818.0040526306675,928.5872754253598,14171.824534261885,-64.7834240257697,-491.61715774748615,2086.2885867220975,1228.259340865411,1401.7078064486072,24346.30369792971
F9,0.5814214235160363,0.5849575171486237,0.6384285830550738,3.79739856322007,3.832764455652751,0.9547522326027056,854.5182682028354,904.5611200386262,14436.714393659939,-50.67445773438379,-713.346672908849,2530.5695019695304,1309.3557933075392,1339.6619793284,24652.110551700775
F10,0.6680256986539957,0.7675890889273674,0.6984461849586465,3.446854570894606,3.233450913904427,0.9693756993337619,1775.912483669103,2354.1088833675144,31915.761372952704,-170.21724729561842,-712.2176065333531,0.0,4672.759561658093,7503.70566133129,72258.51659371873
F11,0.6794983771944176,0.7783804187866057,0.7052225225951904,3.4325444308605633,3.237702399405603,1.009209794390636,1757.51062967887,2330.767568668691,29903.85763646855,-37.18344748201842,-806.2592472782926,-41122.16588047485,4564.622849580961,6783.328980261953,81270.80867193668
F12,0.6482587617291881,0.7638681477626523,0.7101619308240072,3.497079807341233,3.1889128871875,0.9855109660358088,1722.3378343071213,2379.5856604022524,33862.88355162883,-181.07019893713598,-774.8111862794124,0.0,4419.306184012036,7476.49718428754,72696.97972155664
G1,0.7875092286995657,0.8760262454073074,0.7709929211184667,3.687786799199884,3.327389352748736,1.014610305585409,512.472929737024,562.4326855769046,17553.659599108778,-162.69087602564542,-1735.259970119861,-35158.96404024613,3991.266276741384,5252.931629597478,282330.5780262957
G2,0.7397477686500089,0.837379520906606,0.8307672430940655,3.80587367208647,3.2914140635023563,1.1554380685658416,504.2707952670418,462.018358343062,17145.13385159236,-150.21194549792904,-1642.173283518387,511.47847967484194,3992.4108957853505,5001.3225535634365,47984.71806059692
G3,0.7792018955666264,0.8810589121856839,0.8227728105844404,3.6237042519978857,3.3730477346309415,1.144481932090725,489.61133305685337,493.4536787503729,16659.115026339372,-161.04870791900217,-1744.312410849573,909.7563498828932,4001.195347340366,5032.948833086479,53871.50334308507
G4,0.7620719456313908,0.9844810808404718,0.8324383740034706,3.654617582964113,3.377280709399448,1.067139028299389,38.638171883251765,39.06146492735876,372.71053306129573,1.4164895906575752,2.2248157578264984,94.38401280030394,99.95683682046389,131.28923291530478,872.0977899690009
G5,0.8081495045349972,0.9747526459776287,0.8247755360347665,3.550020365388008,3.360956340652308,1.0207198502057033,32.84276681154569,38.40782614191683,388.2332284634958,1.4130186496768287,7.2143975564871035,75.45492959277837,132.0695015752041,116.65775531035801,865.8501862263747
G6,0.8474502906506347,0.9301869165950493,0.8487041051033224,3.6711828893192866,3.2859081826289414,1.070400961033172,32.24910780729644,38.939794103399315,392.00548843004697,1.4280551644903112,2.2844400563912255,89.81942051744085,95.53683741222535,101.57010453256592,883.1422675736582
G7,0.0,0.0,0.0,0.930376183807077,3.668045131654875,1.4045840066696549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G8,0.0,0.0,0.0,0.9970027704051461,11.805339716383841,1.5139753942587895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G9,0.0,0.0,0.0,0.8576522100270267,15.353816936593212,1.440954113213877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G10,0.8604680309569914,0.9792280215164592,0.8024587601447891,3.5640668713965766,3.269216666354672,0.9145246773655562,38.8539445409387,39.737886771722366,452.0276938467087,1.3553986220013174,7.6069468959624995,91.97933282735043,124.07472682410997,119.71007299986852,914.0175644532376
G11,0.8743927289620409,0.948802169015325,0.833368062110261,3.6080772757151007,3.216837549350987,1.0121321488176498,37.83870012360034,39.14728980344052,424.5024898831964,1.4153792043885223,6.070271953069318,82.07337493264153,92.41551040316305,131.72157352396368,983.7421599605213
G12,0.0,0.0,0.0,0.0,3.801767026953165,1.6025179435037664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H1,0.8584137263517916,0.9380978521132267,0.7853564160541139,3.5628822751114755,3.19599118701212,0.8718887573675571,37.686386577248655,38.95440527407936,429.09417275585827,1.2977303394913915,5.940851539443763,100.4410765173781,136.98825611096044,141.05823060082,895.4577616830314
H2,0.0,0.0,0.0,0.0,4.072224503778813,1.6174972345884555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H3,0.0,0.0,0.0,0.0,3.5073578029406,1.6685795643455599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H4,0.678750164393763,0.6973009860419256,0.6780703496681931,9.31557073734341,7.807534311364003,1.7714209517717887,734.8137032212608,807.4682275862258,12704.305611946387,-81.99455759881222,-27.354128565453742,2024.4959331342795,1296.7790766125554,1365.5934463707285,20380.961083938204
H5,0.7247081854044589,0.7229443840536091,0.6512642547887353,9.063210868645006,7.692880500758055,1.686759457838401,752.1266397041023,802.6822893881895,13283.843543703544,-16.502838965358865,2.6906782380007073,2183.4194645206085,1398.5461960990597,1264.1681901279612,20332.79613295598
H6,0.8529745286753904,0.9337879165435482,0.8024327883905329,3.7218921896120944,3.325265003750107,0.9996575033846424,68.34146379294594,68.23734573406588,3467.4811338141308,-33.371026636183224,-395.8448310337977,-5418.41062442753,1196.8517318661284,1506.1391541609876,23963.874308598643
H7,0.7311164307725847,0.7030204797036304,0.6980606637013399,9.732724666913192,8.080955699150433,1.793830788048737,711.5518809326632,775.1878011399947,11996.744901933527,-92.39764271301007,30.317162898913498,2460.4716550757284,1222.9862475441962,1212.3205987580625,19499.83662510522
H8,0.8261829647441216,0.958048236855224,0.7994223001718948,3.6166051628629283,3.311045173173838,1.0209646217964534,74.06826510952018,68.78676351966125,3433.356537986843,-26.797659443508735,-355.3100292568885,-5156.663936454477,1347.5186027919603,1474.4839417603396,25702.20328520732
H9,0.8592432547496853,0.9051324222350522,0.8230743645266748,3.649286780129585,3.258598774870151,1.004072605958416,69.22283995650787,68.6255704032261,3299.4424379381658,-24.681434385597388,-368.7879984204581,-5692.024881019544,1346.2750535736839,1518.83368948121,22978.001910977095
H10,0.0,0.0,0.6186936080050596,0.0,1.6446443051848014,12.181123717914202,0.0,0.0,7406.483064079569,0.0,0.0,6869.963009551838,0.0,0.0,12800.072749111283
H11,0.0,0.0,0.6562162883427796,0.0,3.8911505582778254,11.60717385892373,0.0,0.0,5458.547898920887,0.0,0.0,6647.764875748981,0.0,0.0,12416.113898166808
H12,0.0,0.0,0.6071576898772733,0.0,2.797904347725254,13.01066568043679,0.0,0.0,6936.045957003766,0.0,0.0,6328.342275894747,0.0,0.0,11364.31580858282
