,Growth Rate,Lag Phase,yield
Deoxyadenosine1.2_R1,0.24442578130983653,3.4615986282522178,0.02870820512820513
Deoxyadenosine1.2_R2,0.31840541044814547,1.7291319411988144,0.02552985507246377
Deoxyadenosine1.2_R3,0.18535006332669943,2.7218171866990772,0.025198222222222223
Deoxyadenosine12_R1,0.33176348909044456,2.7956121476960862,0.060356969696969694
Deoxyadenosine12_R2,0.32991770972441775,2.3210378582436104,0.05819030303030303
Deoxyadenosine12_R3,0.282769289675786,2.553916437134575,0.07056296296296297
Deoxyadenosine24_R1,0.3436163410967374,2.6606008531837446,0.11817777777777777
Deoxyadenosine24_R2,0.46399434441371956,2.2096049625854897,0.22103555555555554
Deoxyadenosine24_R3,0.3839984222538033,3.005527090298451,0.2337043137254902
Dglucosamine10_R1,0.4873416234174396,1.306110590837982,0.9262037037037038
Dglucosamine10_R2,0.4347875599453727,2.053236784061526,0.8806146666666665
Dglucosamine10_R3,0.4271778150161877,2.246201348859453,0.8385342857142858
Dglucosamine100_R1,0.42181010786776696,2.0767073122221067,0.8560883333333332
Dglucosamine100_R2,0.4155415910114195,1.5091110941966794,0.8221857142857143
Dglucosamine100_R3,0.40656427322712846,2.4245007118245336,0.8310122222222222
Dglucosamine200_R1,0.43917284845007537,2.479758248942024,0.47241073170731707
Dglucosamine200_R2,0.40334446619493486,2.0820964985187334,0.5056066666666666
Dglucosamine200_R3,0.3837127454462129,2.6263382585878885,0.5128950724637682
dulcitol10_R1,0.7286066005525775,1.4836264433251718,0.1969911111111111
dulcitol10_R2,0.8217474655598441,-0.05800375360233581,0.18884333333333336
dulcitol10_R3,0.3602713040491337,2.2906266704773808,0.194969696969697
dulcitol5_R1,0.4290463622015744,2.5194988302297077,0.18960352941176473
dulcitol5_R2,0.7722698544213876,1.5165050877748278,0.1940411764705882
dulcitol5_R3,1.0339158801241772,0.8941864629808043,0.18530777777777777
dulcitol50_R1,1.9004189961985696,-0.05566779228536925,0.21013777777777776
dulcitol50_R2,0.7817983551032134,-0.12019874062946756,0.22466484848484847
dulcitol50_R3,0.8531639034449674,1.3980395890069333,0.1897444444444444
glc0.4_R1,0.706352798421108,1.460857020342322,0.8716666666666666
glc0.4_R2,0.8071447014306758,2.880288478513954,0.8413566666666666
glc0.4_R3,0.7298595301936636,1.8808104239663415,0.6138088888888888
Inosine0.8_R1,0.4581393648501098,2.6806314872400128,0.06366190476190475
Inosine0.8_R2,0.4347498242165914,1.8945400107996297,0.06002222222222222
Inosine0.8_R3,0.38258606686670016,1.6926650020327745,0.06097185185185186
Inosine16_R1,0.4607808938745421,2.247039288930276,0.24483888888888886
Inosine16_R2,0.31635581900267795,2.112081040924278,0.21765238095238093
Inosine16_R3,0.3524133942441339,0.2070772566750328,0.22718000000000002
Inosine8_R1,0.40407302181552274,1.9887131979508639,0.1883975
Inosine8_R2,0.871905759667901,-0.06454735859551211,0.19562333333333332
Inosine8_R3,0.3666190726901049,0.3306385926495734,0.17738333333333334
propionate10_R1,0.20885600893932926,4.047043552551408,0.04054549019607843
propionate10_R2,0.275640374417841,3.7269186212673384,0.046161999999999995
propionate10_R3,0.29090626323147967,1.8336692480507633,0.05243000000000001
propionate100_R1,0.43027719711778617,2.344134919977217,0.03333555555555555
propionate100_R2,0.21316749513233407,8.067951391649334,0.036065925925925925
propionate100_R3,0.7370546321241211,-0.09206562939479612,0.05493142857142856
propionate50_R1,0.2454426438747033,4.650968314221775,0.04517904761904762
propionate50_R2,0.443801757105466,2.0975733540283863,0.046441666666666666
propionate50_R3,0.28796529812599225,4.155946532890886,0.047766666666666666
Thymidine2_R1,0.8977167150456101,1.3336308796329124,0.142332
Thymidine2_R2,1.2618686112971516,1.0197564431202528,0.12706666666666666
Thymidine2_R3,1.4063900935978695,0.7585178971360425,0.14341666666666664
Thymidine20_R1,0.37840655803159506,2.929220361595021,0.3496916666666667
Thymidine20_R2,0.5750985157896028,2.3147217503901016,0.4531644444444444
Thymidine20_R3,0.4088371471298206,2.52604198261601,0.38922
Thymidine40_R1,0.43795052459884015,0.9906300868804272,0.314184
Thymidine40_R2,0.5091568324812676,0.6352825441287733,0.26458200000000004
Thymidine40_R3,0.4083691345777478,0.43375377536717874,0.2540106666666667
