,Growth Rate,Lag Phase
A1,0.0,2.149505945349464
A2,0.0,1.2776771768776811
A3,0.0,1.8275985668042516
A4,0.0,1.4894132544102128
A5,0.0,1.7363801877141611
A6,0.0,1.4782474776858194
A7,0.0,1.074455403642034
A8,0.0,1.2548084866150653
A9,0.0,1.6474394970258963
A10,0.0,0.8283645739782912
A11,0.0,1.0229910835470086
A12,0.0,0.8576644643460156
B1,0.0,2.1574101542956896
B2,0.0,1.4361756464535844
B3,0.0,1.7308142017403831
B4,0.0,1.2324387980878733
B5,0.0,1.2209624260454603
B6,0.0,1.0482310392062644
B7,0.0,0.9771595899823353
B8,0.0,1.1380555856885373
B9,0.0,1.3930241421672278
B10,0.0,1.61832471925862
B11,0.0,1.5444559509152782
B12,0.0,0.795950369920952
C1,0.0,1.466451536157905
C2,0.0,1.6784701395043697
C3,0.0,1.6034033262457363
C4,0.0,1.3844921959475052
C5,0.0,0.7200298286031632
C6,0.0,1.0166962135625646
C7,0.0,0.8460657607970816
C8,0.0,1.3803297269332298
C9,0.0,1.049619976978363
C10,0.0,1.179675532689469
C11,0.0,0.8523317640039032
C12,0.0,1.204670470035996
D1,0.0,2.1927542457943687
D2,0.0,1.2685999008620854
D3,0.0,1.3535910780768319
D4,0.0,1.097233019355265
D5,0.0,1.3168696737225574
D6,0.0,1.5800586402110888
D7,0.0,1.2642793758534445
D8,0.0,0.7310412818845862
D9,0.0,1.1773233979032476
D10,0.0,1.407977246726162
D11,0.0,1.1832741161791134
D12,0.0,1.0594442353147784
E1,0.5365862118826137,4.981532207755498
E2,0.5186285322805996,9.206846380889555
E3,0.46557499482251774,14.064701211462818
E4,0.0,1.5323798764086867
E5,0.0,1.6804104585953326
E6,0.0,0.979862271587308
E7,0.0,0.8329378616164149
E8,0.0,1.0330551837718893
E9,0.0,1.2692538866271619
E10,0.0,1.1911800775416594
E11,0.0,0.7751082219045813
E12,0.0,0.9515538996655444
F1,0.713544565763955,1.3089375840161348
F2,0.5266081687578658,1.5916605926985619
F3,0.5100177729566664,3.63341858325637
F4,0.49070785876153045,4.970561033463777
F5,0.3542905363794048,10.885066789930363
F6,0.0,1.0064262666992256
F7,0.0,1.849919598694175
F8,0.0,0.20920338444026143
F9,0.0,1.1691591193280892
F10,0.0,1.2320333797493745
F11,0.0,1.8215487345152113
F12,0.0,1.4710586017048577
G1,0.7436836725943087,-0.035810200280428583
G2,0.6544673391122289,0.1383233887218136
G3,0.6497547485495285,-0.10882392692583653
G4,0.7433425215355263,0.9493051118167568
G5,0.6895140963048694,1.643566494122617
G6,0.661595202059308,3.3908988876339277
G7,0.0,0.0
G8,0.0,0.8471009227779298
G9,0.0,1.476338343889303
G10,0.0,0.9664129709820273
G11,0.0,1.4236859285939794
G12,0.0,1.0689994890762584
H1,0.8887766079593646,-0.19696086485870923
H2,0.870789193570278,-0.08386137487867662
H3,0.6686622954153545,-0.03826803634421594
H4,0.6680346049789659,-0.08580318090658279
H5,0.8249034878793154,-0.15987185103672752
H6,0.5337573186475184,0.18394820224419206
H7,0.5874411728709953,1.6671584936508144
H8,0.43396802505515863,5.583348797523067
H9,0.0,1.1366853766184164
H10,0.0,1.1066105700110924
H11,0.0,1.1392166456521018
H12,0.0,1.9008249064694134
