,growh_rate_Plate1_1 Feb 2018,growh_rate_Plate2_1 Feb 2018,growh_rate_Plate1_9 Feb 2018,growh_rate_Plate2_9 Feb 2018,growh_rate_Plate1_20 Feb 2018,growh_rate_Plate2_20 Feb 2018,growh_rate_Plate3_1 Feb 2018,growh_rate_Plate4_1 Feb 2018,growh_rate_Plate3_9 Feb 2018,growh_rate_Plate4_9 Feb 2018,growh_rate_Plate3_20 Feb 2018,growh_rate_Plate4_20 Feb 2018,growh_rate_Plate5_1 Feb 2018,growh_rate_Plate6_1 Feb 2018,growh_rate_Plate5_9 Feb 2018,growh_rate_Plate6_9 Feb 2018,growh_rate_Plate5_20 Feb 2018,growh_rate_Plate6_20 Feb 2018,growh_rate_Plate7_1 Feb 2018,growh_rate_Plate8_1 Feb 2018,growh_rate_Plate7_9 Feb 2018,growh_rate_Plate8_9 Feb 2018,growh_rate_Plate7_20 Feb 2018,growh_rate_Plate8_20 Feb 2018,growh_rate_Plate9_1 Feb 2018,growh_rate_Plate10_1 Feb 2018,growh_rate_Plate9_9 Feb 2018,growh_rate_Plate10_9 Feb 2018,growh_rate_Plate9_20 Feb 2018,growh_rate_Plate10_20 Feb 2018,lag_phase_Plate1_1 Feb 2018,lag_phase_Plate2_1 Feb 2018,lag_phase_Plate1_9 Feb 2018,lag_phase_Plate2_9 Feb 2018,lag_phase_Plate1_20 Feb 2018,lag_phase_Plate2_20 Feb 2018,lag_phase_Plate3_1 Feb 2018,lag_phase_Plate4_1 Feb 2018,lag_phase_Plate3_9 Feb 2018,lag_phase_Plate4_9 Feb 2018,lag_phase_Plate3_20 Feb 2018,lag_phase_Plate4_20 Feb 2018,lag_phase_Plate5_1 Feb 2018,lag_phase_Plate6_1 Feb 2018,lag_phase_Plate5_9 Feb 2018,lag_phase_Plate6_9 Feb 2018,lag_phase_Plate5_20 Feb 2018,lag_phase_Plate6_20 Feb 2018,lag_phase_Plate7_1 Feb 2018,lag_phase_Plate8_1 Feb 2018,lag_phase_Plate7_9 Feb 2018,lag_phase_Plate8_9 Feb 2018,lag_phase_Plate7_20 Feb 2018,lag_phase_Plate8_20 Feb 2018,lag_phase_Plate9_1 Feb 2018,lag_phase_Plate10_1 Feb 2018,lag_phase_Plate9_9 Feb 2018,lag_phase_Plate10_9 Feb 2018,lag_phase_Plate9_20 Feb 2018,lag_phase_Plate10_20 Feb 2018
A1,0.38562904369606865,0.37493998279829094,0.5075670462905172,0.3995462634608274,0.3696238439023474,0.3886061890808181,0.573477452775429,0.4700043143338718,0.3862230469969251,0.39224885582143526,0.43608523745470784,0.3998467095869828,0.515383469927777,0.5067136093089333,0.5762299019094075,0.5908449512681322,0.45386826266096036,0.531468065974829,0.3046874750284491,0.3117991272840711,0.4950109588902093,0.4234722561684578,0.2685927169849419,0.26870213282657945,0.42995566866192136,0.4034981069722314,0.37822330076250094,0.44888451647511735,0.28435955011884845,0.3150803494797053,2.79253417369437,2.765339181353764,0.5548160033072906,3.027202302840303,3.719651325944031,10.179844713012251,3.342926223565352,2.8533543967879047,7.354139309180482,6.382614883224943,4.363515520101805,8.43905960665495,0.6432152281265537,0.4241624124839536,-0.32254903624807063,0.510022414691448,0.46033988933841385,0.8177457939419042,3.755982446832998,3.3027669537361874,1.8505535239236213,1.5958147047915916,6.144344281875529,7.0752921654986505,3.124990663253583,2.8342715518395183,2.5582786543115508,2.5787741256097156,8.382519799874371,9.633338891289663
A2,0.646625250593833,0.6837882775725934,0.5851770888795528,0.7302750232669802,0.6017385992368445,0.5174941590517764,0.5846717123072708,0.5952267633118715,0.5067819581537129,0.506401944769212,0.5602631049108501,0.5796239782230106,0.8033140922219644,0.7534801806614738,0.873902846509048,0.920063541944811,0.8515756319118575,0.6878519744072823,0.7014170008425118,0.5535535148831268,0.5726060499218599,0.7449092568592779,0.6538682371781271,0.5613696511011319,0.7061557442619467,0.7077137777466094,0.612455766091516,0.604765849022999,0.6459804709575594,0.5615578441267344,-0.1685762723117571,-0.3607423394902135,0.5014955965847832,-0.28943765112932873,-0.2957305396785648,0.6329775466340295,1.2700383238591448,1.3191250226048632,2.319916546919728,2.4188421104265787,2.6374851855986483,2.847929946585221,-0.15654060415541293,-0.09390129244115097,-0.17350582671053327,-0.1588597230786335,-0.15563572545606752,-0.05821828313404154,-0.3444399123186943,0.1184008357253794,0.530160826701001,-0.1637032526489648,-0.370500462073441,-0.38530487992457174,-0.022923196312737648,0.2594534512227056,0.20290221275497844,0.18113021015890496,0.37985129202367185,0.20531682937746742
A3,0.9122756423944333,0.7469785508463859,0.9013867315511942,0.9644548355118087,0.8416864767792263,0.8349994238729711,0.5390440899685787,0.5367307225146789,0.6014993238567172,0.6339147719715715,0.6233665578163974,0.5875341318376605,0.8026279169734459,0.9102056429941608,0.9749604516092364,0.9958150717633875,0.868407122225325,0.9400351203325868,0.9470606408046917,0.7907681566466815,0.7152949223457681,0.7390485312004897,0.9372407796445931,0.7719053384427221,0.7841252692600412,0.8161701394199385,0.7296799600995173,0.7190602720002143,0.7306160114818444,0.7302911223838539,-0.05418771561768343,0.09653189552594243,-0.0468734754694462,-0.15690992776571522,0.1131472491944886,-0.11146765830868399,0.2346621167805849,0.08075949642906455,1.0291344100466098,0.6221645972100625,1.5277713690301682,1.0320611065050893,-0.07403244413137844,-0.14146228918113735,-0.09362014592659107,-0.1597050076052693,-0.13111533940189224,-0.163949273355126,-0.1628221972387882,-0.04816230279862466,0.11889514582653771,0.07117314056458857,-0.1954251202568652,-0.07829479269503825,0.20076231199990024,0.22886229813046133,-0.04491933504773149,-0.04229372869676307,0.046620267119600545,0.021396022571557483
A4,0.8537388249086115,0.9757148618952701,0.911803931004435,0.8498339320654188,0.7470715312541997,0.9550682099596149,0.6398824707678437,0.658275115453243,0.6706326858983938,0.6870502191673199,0.6075672813483499,0.6940950801404252,0.9410724854967305,0.8353559152320061,0.95954130468559,0.8457359873163465,0.9287269638545248,0.9735252362428558,0.971716454916758,0.7513324830147392,0.7191548585583682,0.8516659864526146,0.9691630836477223,0.9346927283399126,0.7978458003223063,0.7860279601654818,0.7673705711782106,0.7633773981347295,0.7404015092846269,0.7591822608850397,0.17540623146990642,-0.14271400866845385,-0.024849886831914247,0.07949372631645324,0.18787370267134118,-0.11922488516001628,-0.25458305176054186,-0.17742898817011443,0.43478316871247347,0.2949656146677102,0.8301953233656616,-0.0504670462998571,-0.1464731562907683,-0.0686344714776117,-0.14743481336662467,-0.04396486042188319,-0.12965197000965367,-0.172835700459399,-0.16057021513813252,-0.03445478108388911,0.14445163999761013,-0.10943854441902812,-0.17341041466918272,-0.11503409963416233,0.14103660166118126,0.10440421149477763,-0.0384553241774227,-0.008696681070259005,0.01282617737837044,0.00549459578356204
A5,0.8325542840110713,0.8694790704755696,0.8938016039585549,1.008288924634035,0.809174568026557,0.8177061858191438,0.7666097073980996,0.5748583376924655,0.6782686319923915,0.6755539256904848,0.8528029836217843,0.7730199372339316,0.8040308606252154,0.8254424710180276,0.8216077932473673,0.8580105442170026,0.8368885297206818,1.0145565414286029,0.8664682310403131,0.8388173890529456,0.7154500716915017,0.7807650341334861,0.9844659349719533,0.9634336639393789,0.8048586875240196,0.7638611345812519,0.7450130417528825,0.7083209472469357,0.9094372049126034,0.818732710453737,0.28331066797746596,-0.07397037778630933,-0.010812719690924788,-0.1407973158700122,0.10654769162115652,0.05372341556841387,-0.19890652400052433,-0.030714341373507037,0.3273022588042358,0.4249911188670654,-0.09211942873071033,-0.07666139605256261,-0.04743456351974351,-0.06132518428455214,-0.04030639167767869,-0.0518210466404353,-0.013852513184042237,-0.13954141415987853,-0.08314640860140043,-0.05807283977673061,0.14170326616726214,0.26075368859226766,-0.16456233274310939,-0.16835342899031813,0.14851201611390663,0.05601102628331445,-0.04521759610858578,-0.01707317280270304,-0.12002738107144206,-0.05865981204674331
A6,0.880361612395126,0.8931976027878453,0.7746576351364607,0.8495767882921136,0.9040503494177416,1.012831392987849,0.8490366381934815,0.6579561118317375,0.6933722007994552,0.6942175149187797,0.7418774766353732,0.9444708960037821,0.8134288216032263,1.01594598973731,1.0282325924191478,0.8584627811033845,1.006745370226362,0.8276492778642759,0.8284924476175648,0.8200119790282362,0.7152466319673856,0.8518539198317148,0.9964913764231995,0.9924805248332004,0.8252714512777749,0.8088635825571706,0.771125442398165,0.7628573174404089,0.7329228062645934,0.7398661552156413,0.021745837835733584,-0.06919612615252535,0.21852460102499194,-0.015477487637669762,-0.08348101792223916,-0.14799168264720652,-0.14736588359889735,-0.023127532118729532,0.0802274688298783,-0.03815980421709941,0.021374201125531567,-0.10696612569329622,-0.059738499738779094,-0.19629076936944878,-0.12883829300503258,-0.051738751948381956,-0.16694001443624462,-0.04693378463068809,-0.05942903006048328,-0.048415781403219116,0.11442479390201865,-0.09178213619772546,-0.16530340479882433,-0.1869592655264809,0.07534827890678475,0.155282999701027,-0.0016282582349378405,-0.06063040657046215,0.014833596544389538,-0.007330525184301662
A7,0.8318253688237824,0.70045331340924,0.6491354003158277,0.7341064219615292,0.769782656251524,0.9428829720038806,0.7878712947764271,0.8735606682676823,0.6379926612827282,0.6802719849637328,0.9113021127838815,0.7436666667705658,0.7541727140594321,0.7768371908961212,0.656775514353902,0.6854119336129669,0.7935576014898542,0.9379778519531656,0.7698451507963188,0.7318163688401127,0.6860708108822601,0.6381024821613935,0.7802369171205915,0.7803062930404235,0.6864358920175656,0.7330089076454998,0.6877656292401643,0.6504520927548668,0.7918790543718988,0.6753237370312515,-0.020763521725637668,0.1972243570447545,0.3188471759350582,0.15947370081520895,0.12101903519087343,-0.1374940903313272,-0.15486654138226263,-0.15804726940875669,0.042071885741914894,0.16135432993843624,-0.17010776023207386,-0.011070816298496267,-0.04830164306256701,-0.07964227121545098,0.31161936627531706,0.021583846879994706,-0.05708564587725651,-0.1322327013943061,-0.018946364440775798,-0.025839863576728073,0.20532979603213874,0.17803305082626442,-0.03688782012546288,-0.042367228089133846,0.04744542949466313,0.15157546551309653,-0.029445940006612492,-0.02995009649264402,-0.1095542891430783,-0.018065851831596147
A8,0.0,0.0,0.2517617125131959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3156307016863645,0.2998791703226258,0.0,0.0,0.0,0.0,0.36107610459951145,0.3732701911754693,0.0,0.0,0.0,0.0,0.0,0.14209604327692374,0.0,0.0,1.3689346573271273,1.1443494946696333,32.40548101683772,1.0372312823353695,2.2358401467568854,1.5976549875464023,1.3033338137957422,1.2616504904527694,1.8226045967856237,2.3846672684356776,2.350950879095933,1.1383289546782507,1.3002298610177974,0.9444360380544126,21.838202050098374,22.348482961592378,1.3865300094313575,1.7595020439523807,1.0568604259035013,1.2220657666801138,4.896917751603347,5.816169639471135,1.6793928070557413,2.1185296630947335,1.1564493238418585,0.9154813494188936,0.0,42.81341430870988,2.3745861933454364,1.2017399641157027
A9,0.3909698998790925,0.0,0.3306385127182571,0.396068026627828,0.0,0.0,0.4082465926504226,0.47242015759274414,0.38319451025772266,0.4019273009835352,0.0,0.0,0.2702301216152152,0.2909115540216271,0.2911958308187778,0.3225231872776521,0.21695541954077666,0.0,0.0,0.4563571303394176,0.22408594271432233,0.21473685657933467,0.0,0.0,0.0,0.0,0.6459083535221233,0.6493221448932007,0.0,0.0,4.233211949863854,0.0,18.807159289152253,19.271710851881117,1.0873411602296876,0.0,5.530598530084052,5.670056460992324,27.69963666469753,20.471905762896352,0.0,0.0,5.531975878064783,6.241836374012566,2.2886487869719847,1.8337392907139232,13.138527981040573,0.0,0.0,17.924718733513412,15.47832213249223,12.6851124029034,0.0,0.7329161452814468,0.0,0.0,14.499903028505384,15.156976861575652,1.6811437158645361,0.0
A10,0.6188980312273875,0.713888165788294,0.35582749652469936,0.27546754038054916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6320365343792193,0.6361509202289499,0.3591426582761834,0.32964918564737755,0.6061115006769775,0.6758229562861184,0.0,0.7112939966060482,0.4099054005859916,0.3076400352858222,0.7055113464835798,0.7153355332090515,0.7936713735958953,0.9590799487124406,0.9265993540919187,0.7472271439137798,0.7831966092779417,0.7462497937781607,14.876136735184524,13.966486297338491,-0.19617233257363642,31.874904262137065,0.0,7.5015192570760725,6.334418235853002,4.9516576768494645,2.241702319497037,1.7568337431802377,2.193332274044902,3.193103128679688,-0.03237779255930717,-0.10591891220839322,-0.8080015046253569,32.70040772877862,-0.20042332476015967,-0.2679628342558953,0.0,-0.30014687344424684,26.643875920355608,23.777639756212288,-0.3285480443385952,-0.3374991599827655,0.07925369924659043,0.3542021954095693,-0.16665214109702886,-0.04113979017999492,0.044984964358017354,0.023244831661062948
