,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1518196848.0,0.074322,0.071321,0.0709,0.071408,0.070892,0.070312,0.066045,0.068138,0.070418,0.069643,0.063558,0.069028,0.080394,0.07877,0.065033,0.071309,0.069784,0.080207,0.07537,0.067226,0.070206,0.063135,0.070038,0.063107,0.088148,0.074009,0.07224,0.069189,0.071871,0.12095,0.068992,0.059828,0.066902,0.067711,0.064311,0.062813,0.080435,0.070274,0.070988,0.066138,0.065319,0.12333,0.07355,0.068914,0.076906,0.065535,0.061991,0.068121,0.087647,0.077542,0.069076,0.07006,0.067707,0.096956,0.067987,0.062558,0.060639,0.069432,0.059281,0.060477,0.094134,0.066305,0.065094,0.066852,0.072601,0.10271,0.065638,0.067668,0.072456,0.0713,0.069143,0.074333,0.1059,0.076422,0.066106,0.06651,0.065537,0.084183,0.064818,0.066066,0.063653,0.062642,0.063508,0.068782,0.079842,0.068668,0.062283,0.064565,0.067379,0.065139,0.075419,0.065313,0.066482,0.068481,0.066798,0.090109
1518198146.0,0.096643,0.072619,0.072001,0.07176,0.070934,0.072326,0.07086,0.07087,0.071353,0.073451,0.071359,0.072438,0.090238,0.079749,0.073128,0.070642,0.078188,0.073975,0.07459,0.074403,0.076901,0.074648,0.069144,0.06905,0.10586,0.074287,0.071394,0.07601,0.072842,0.080602,0.074674,0.072785,0.068073,0.070558,0.073237,0.071415,0.092472,0.08024,0.07399,0.072681,0.073083,0.094323,0.076578,0.076501,0.076361,0.071008,0.06875,0.072367,0.11904,0.077833,0.077968,0.071657,0.075474,0.081791,0.075074,0.073761,0.066528,0.069798,0.071113,0.069152,0.087764,0.076196,0.073791,0.075603,0.07313,0.084404,0.072412,0.073041,0.069501,0.070374,0.070729,0.073749,0.098819,0.076038,0.072149,0.073816,0.073228,0.078181,0.070205,0.073849,0.069485,0.073343,0.072426,0.069008,0.12848,0.076358,0.069407,0.068526,0.07516,0.071807,0.080356,0.070838,0.071982,0.072266,0.073128,0.086584
1518199442.0,0.11966,0.087202,0.085152,0.084964,0.083242,0.085,0.071621,0.065992,0.061722,0.060438,0.066238,0.066174,0.11229,0.094018,0.087548,0.083601,0.093614,0.089464,0.079437,0.072222,0.065057,0.061591,0.063545,0.068515,0.12653,0.088161,0.085649,0.081247,0.086832,0.093042,0.067202,0.059096,0.057691,0.060071,0.062231,0.066645,0.11127,0.095258,0.088135,0.086051,0.085612,0.10589,0.086202,0.078163,0.068808,0.064996,0.064897,0.068456,0.13588,0.091454,0.093296,0.085574,0.088977,0.091681,0.086067,0.062482,0.060866,0.067533,0.061207,0.063859,0.10912,0.090224,0.088279,0.087155,0.084866,0.094097,0.082402,0.073996,0.064084,0.065842,0.065782,0.069984,0.11765,0.087618,0.084692,0.086437,0.086513,0.090179,0.08214,0.071766,0.068996,0.063753,0.065421,0.069866,0.10634,0.088717,0.080054,0.080483,0.086985,0.082934,0.087438,0.081925,0.079973,0.079983,0.083801,0.09718
1518200738.0,0.13331,0.10242,0.10014,0.097882,0.078553,0.061053,0.048711,0.048859,0.048067,0.049893,0.048756,0.049064,0.13673,0.11539,0.10356,0.096633,0.10746,0.059189,0.052236,0.049772,0.053978,0.047242,0.047145,0.05121,0.14839,0.1068,0.10087,0.097155,0.091624,0.067441,0.049865,0.046889,0.046208,0.04618,0.045751,0.047937,0.13487,0.11319,0.10491,0.10083,0.091777,0.077286,0.06224,0.054417,0.05128,0.048312,0.047371,0.049524,0.16203,0.10792,0.11217,0.10069,0.096951,0.072871,0.063032,0.048,0.046879,0.05161,0.046166,0.046975,0.12946,0.1095,0.10599,0.10299,0.099698,0.092166,0.068266,0.053451,0.047666,0.047982,0.047757,0.051402,0.14385,0.10473,0.1031,0.10522,0.10374,0.10603,0.095264,0.058649,0.050019,0.048449,0.047982,0.050126,0.13332,0.10668,0.094415,0.092578,0.10281,0.099529,0.10401,0.098529,0.071025,0.062969,0.061386,0.080086
1518202034.0,0.17242,0.12288,0.11821,0.09902,0.062532,0.052869,0.054551,0.055371,0.054083,0.054601,0.047483,0.056711,0.16655,0.13475,0.12534,0.094729,0.10578,0.058798,0.055912,0.055298,0.051464,0.046303,0.053813,0.048997,0.17765,0.12779,0.12266,0.089823,0.079767,0.062531,0.054893,0.045049,0.045493,0.044986,0.051824,0.046435,0.16522,0.13698,0.12295,0.11235,0.084933,0.066932,0.062849,0.057595,0.055334,0.054093,0.050159,0.051262,0.18438,0.12819,0.13352,0.10808,0.095102,0.068254,0.062482,0.053981,0.046216,0.057995,0.044736,0.044849,0.15705,0.13317,0.12779,0.12195,0.11129,0.086959,0.066071,0.05111,0.05465,0.054303,0.050905,0.048698,0.17547,0.12566,0.12489,0.12954,0.12597,0.11436,0.081126,0.061697,0.047456,0.047118,0.050253,0.047373,0.16536,0.12332,0.11087,0.1078,0.12284,0.11488,0.11663,0.080834,0.061775,0.056043,0.054347,0.070437
1518203328.0,0.19783,0.15312,0.13429,0.09652,0.062777,0.057224,0.053506,0.054579,0.053225,0.05297,0.054524,0.054277,0.19788,0.15981,0.14519,0.091771,0.10556,0.056259,0.054925,0.054723,0.051327,0.050132,0.052906,0.048811,0.20672,0.15572,0.13494,0.089752,0.080963,0.059288,0.053568,0.04435,0.048513,0.052226,0.051702,0.048119,0.20071,0.16452,0.14484,0.12792,0.082678,0.06719,0.059585,0.055664,0.054606,0.05343,0.053211,0.056562,0.23812,0.15307,0.15853,0.12098,0.097232,0.06366,0.059555,0.052888,0.052677,0.05687,0.047533,0.045203,0.20609,0.16436,0.15859,0.14625,0.13121,0.097778,0.063089,0.056233,0.053028,0.053604,0.053203,0.054413,0.20442,0.16102,0.15618,0.16175,0.15423,0.12962,0.086145,0.059993,0.053317,0.053577,0.05176,0.054101,0.20042,0.14866,0.1345,0.12898,0.14844,0.13969,0.13354,0.075955,0.066351,0.061789,0.060138,0.066341
1518204624.0,0.24166,0.17655,0.15298,0.095955,0.059287,0.055174,0.052631,0.053821,0.052512,0.052296,0.053671,0.053506,0.24069,0.19352,0.16232,0.089019,0.10394,0.054387,0.053771,0.053671,0.050303,0.05254,0.05242,0.048522,0.24794,0.18196,0.14873,0.095157,0.075134,0.056775,0.052626,0.043823,0.052054,0.051717,0.051167,0.043488,0.24217,0.20123,0.17004,0.14535,0.087688,0.062465,0.057466,0.054381,0.053586,0.052729,0.052487,0.052945,0.27355,0.18405,0.19242,0.14386,0.10899,0.060151,0.05763,0.05224,0.052224,0.055924,0.051108,0.051491,0.24046,0.19817,0.19408,0.18125,0.15812,0.10392,0.061342,0.055122,0.052569,0.052903,0.052748,0.057872,0.24959,0.19107,0.19404,0.20048,0.19194,0.1469,0.09542,0.058538,0.053848,0.053243,0.053044,0.053487,0.24741,0.18475,0.1599,0.15794,0.18456,0.15983,0.15406,0.087021,0.065563,0.060646,0.05929,0.072132
1518205916.0,0.27033,0.20681,0.16988,0.084599,0.057466,0.054227,0.05193,0.053245,0.051926,0.051752,0.052983,0.052996,0.28086,0.23351,0.18531,0.080879,0.093438,0.053477,0.052822,0.053009,0.04856,0.051935,0.051713,0.049267,0.28847,0.21827,0.17047,0.096469,0.070499,0.055301,0.051748,0.050778,0.051464,0.051152,0.050686,0.050864,0.2863,0.24077,0.20351,0.16865,0.086698,0.060448,0.055939,0.053581,0.052845,0.052146,0.052059,0.054868,0.31932,0.22285,0.22883,0.17586,0.11388,0.05924,0.056023,0.051564,0.051574,0.055837,0.050524,0.050767,0.28493,0.23449,0.23008,0.21951,0.19554,0.11676,0.061096,0.054494,0.052093,0.052241,0.051964,0.054829,0.29385,0.22939,0.23468,0.24354,0.23532,0.17733,0.10318,0.057795,0.053892,0.053098,0.05256,0.052993,0.2922,0.21974,0.19508,0.18846,0.21935,0.2,0.18252,0.095343,0.065455,0.060067,0.058473,0.073898
1518207212.0,0.30751,0.23433,0.17827,0.077852,0.056593,0.053407,0.051208,0.05262,0.051557,0.051632,0.0525,0.052021,0.31373,0.26401,0.21354,0.073041,0.088944,0.052745,0.052256,0.052543,0.049653,0.051554,0.052297,0.057008,0.32082,0.24792,0.19671,0.090846,0.066984,0.054369,0.051589,0.050766,0.051405,0.050806,0.050453,0.050339,0.31724,0.28043,0.23844,0.19337,0.082809,0.058725,0.055018,0.052953,0.052364,0.051585,0.051717,0.052701,0.34708,0.2632,0.27202,0.2107,0.12482,0.05848,0.055803,0.05154,0.051351,0.054087,0.050651,0.05058,0.32151,0.2808,0.27921,0.26306,0.23667,0.12844,0.061248,0.05455,0.051527,0.051895,0.05188,0.05464,0.3252,0.29468,0.28748,0.29598,0.28575,0.21156,0.11754,0.057066,0.052974,0.052622,0.052155,0.052653,0.33265,0.26247,0.22912,0.22355,0.25992,0.22732,0.21097,0.10579,0.06628,0.059467,0.058232,0.067262
1518208508.0,0.34984,0.26922,0.19035,0.076339,0.055949,0.052906,0.050996,0.052384,0.05116,0.051437,0.051828,0.052959,0.34016,0.30014,0.23556,0.070085,0.088695,0.052509,0.05202,0.051965,0.048865,0.051209,0.050736,0.057183,0.34757,0.28004,0.22072,0.08894,0.065307,0.05383,0.050897,0.050191,0.050703,0.050498,0.05032,0.050204,0.34886,0.30994,0.27394,0.21712,0.080915,0.058754,0.054568,0.052377,0.05184,0.05111,0.051043,0.052674,0.37422,0.30468,0.31182,0.24589,0.14112,0.05883,0.055368,0.050875,0.050799,0.055284,0.04985,0.050048,0.34947,0.32595,0.3252,0.30701,0.28898,0.14774,0.062086,0.05361,0.050997,0.051295,0.051031,0.058278,0.35687,0.33494,0.32892,0.33829,0.32804,0.2541,0.1335,0.058299,0.052446,0.052388,0.051838,0.052353,0.36898,0.30607,0.27494,0.26199,0.30298,0.27336,0.2508,0.12061,0.06699,0.059158,0.057829,0.070124
