,Growth Rate,Lag Phase,yield
2 Deoxyadenosine 1,0.6501332192061834,1.926665114328425,0.02870820512820513
2,0.40598092926768015,1.6312091522566448,0.02552985507246377
2 Deoxyadenosine 1.1,0.3689972123612377,2.092506867861763,0.025198222222222223
2.1,0.33176348909044456,2.7956121476960862,0.060356969696969694
2 Deoxyadenosine 1.2,0.3766316840552257,2.2252123862286926,0.05819030303030303
2.2,0.31838929815911055,2.4618086217435353,0.07056296296296297
2 Deoxyadenosine 12,0.3588149410147093,2.6250666504022373,0.11817777777777777
2 Deoxyadenosine 12.1,0.46399434441371956,2.2096049625854897,0.22103555555555554
2 Deoxyadenosine 12.2,0.3839984222538034,3.005527090298451,0.2337043137254902
2 Deoxyadenosine 24,0.5273220490810233,1.2623300322107585,0.9262037037037038
2 Deoxyadenosine 24.1,0.6069619471815989,1.7033386855136192,0.8806146666666665
2 Deoxyadenosine 24.2,0.56023792052045,1.9723099389714163,0.8385342857142858
Dglucosamine 10,0.667157012735769,1.6479573077613248,0.8560883333333332
Dglucosamine 10.1,0.4292467935474069,1.5016421337067787,0.8221857142857143
Dglucosamine 10.2,0.4065642732271284,2.4245007118245328,0.8310122222222222
Dglucosamine 100,0.9367344792060436,1.549637705051667,0.47241073170731707
Dglucosamine 100.1,0.5994592841058023,1.7585125699357276,0.5056066666666666
Dglucosamine 100.2,0.3837127454462129,2.6263382585878885,0.5128950724637682
Dglucosamine 200,1.075689344379314,1.3281975995940192,0.1969911111111111
Dglucosamine 200.1,0.8217474655598441,-0.05800375360233581,0.18884333333333336
Dglucosamine 200.2,0.4208962275482674,2.1968438851333203,0.194969696969697
dulcitol 10,0.6898802033159799,2.117919744848552,0.18960352941176473
dulcitol 10.1,1.0443272564605453,1.3587217081086504,0.1940411764705882
dulcitol 10.2,1.1613128581211214,0.8860207216215996,0.18530777777777777
dulcitol 5,1.9004189961985696,-0.05566779228536925,0.21013777777777776
dulcitol 5.1,0.7817983551032133,-0.12019874062946762,0.22466484848484847
dulcitol 5.2,1.0852256722142792,1.2549026652299455,0.1897444444444444
dulcitol 50,0.7339074237005684,1.4504659426341946,0.8716666666666666
dulcitol 50.1,6.399826352445981,0.6397945644884329,0.8413566666666666
dulcitol 50.2,0.9288092854303016,1.751085879502627,0.6138088888888888
glc 0,0.6878155069944313,2.1504896171461736,0.06366190476190475
4%,0.7315406797434825,1.5693522211204751,0.06002222222222222
glc 0.1,0.41197299149915523,1.6693826990207095,0.06097185185185186
4%.1,0.6621568363489109,1.9514772736125974,0.24483888888888886
glc 0.2,0.316355819002678,2.1120810409242785,0.21765238095238093
4%.2,0.352413394244134,0.20707725667503285,0.22718000000000002
Inosine 0,0.40407302181552274,1.9887131979508639,0.1883975
8,0.871905759667901,-0.06454735859551211,0.19562333333333332
Inosine 0.1,0.36661907269010474,0.33063859264957335,0.17738333333333334
8.1,,,
Inosine 0.2,,,
8.2,,,
Inosine 16,0.26107410297581496,3.8205673113936225,0.04054549019607843
Inosine 16.1,0.3863208160503997,3.415936371266615,0.046161999999999995
Inosine 16.2,0.6554810992168476,1.320393193788501,0.05243000000000001
Inosine 8,0.43027719711778634,2.344134919977217,0.03333555555555555
Inosine 8.1,0.2131674951323341,8.067951391649334,0.036065925925925925
Inosine 8.2,0.737054632124121,-0.09206562939479612,0.05493142857142856
M9,0.2732016570518959,4.493066291061404,0.04517904761904762
M9.1,0.5217364983533315,1.933908897553652,0.046441666666666666
M9.2,0.37862293507394834,3.7060773787166847,0.047766666666666666
propionate 10,2.5855880787861096,0.9387103663727625,0.142332
propionate 10.1,2.4142241680554353,0.83733787879063,0.12706666666666666
propionate 10.2,1.4063900935978688,0.7585178971360423,0.14341666666666664
propionate 100,0.37840655803159506,2.929220361595021,0.3496916666666667
propionate 100.1,0.7609666202579596,2.0608117496664446,0.4531644444444444
propionate 100.2,0.40883714712982067,2.5260419826160105,0.38922
propionate 50,0.5082583992869385,0.9795917249826658,0.314184
propionate 50.1,0.5091568324812673,0.635282544128773,0.26458200000000004
propionate 50.2,0.4083691345777478,0.43375377536717874,0.2540106666666667
Thymidine 2,,,
Thymidine 2.1,,,
Thymidine 2.2,,,
Thymidine 20,,,
Thymidine 20.1,,,
Thymidine 20.2,,,
Thymidine 40,,,
Thymidine 40.1,,,
Thymidine 40.2,,,
