,Growth Rate,Lag Phase,mean_exp_dGFPdt,mean_sta_dGFPdt,dGFPdt_divide_OD_max
A1,0.0,1.4045840066696549,0.0,0.0,0.0
A2,0.0,1.440954113213877,0.0,0.0,0.0
A3,0.0,1.5139753942587895,0.0,0.0,0.0
A4,0.833368062110261,1.0121321488176498,424.5024898831964,82.07337493264153,983.7421599605213
A5,0.8024587601447891,0.9145246773655562,452.0276938467087,91.97933282735043,914.0175644532376
A6,0.7853564160541139,0.8718887573675571,429.09417275585827,100.4410765173781,895.4577616830314
A7,0.0,1.6025179435037664,0.0,0.0,0.0
A8,0.0,1.6685795643455599,0.0,0.0,0.0
A9,0.0,1.6174972345884555,0.0,0.0,0.0
A10,0.8247755360347665,1.0207198502057033,388.2332284634958,75.45492959277837,865.8501862263747
A11,0.8324383740034706,1.067139028299389,372.71053306129573,94.38401280030394,872.0977899690009
A12,0.8487041051033224,1.070400961033172,392.00548843004697,89.81942051744085,883.1422675736582
B1,0.0,1.5227308236021813,0.0,0.0,0.0
B2,0.0,1.5477675262105173,0.0,0.0,0.0
B3,0.0,1.5283315167155216,0.0,0.0,0.0
B4,0.8103173774120026,1.0088110314900949,398.9679420731708,84.75488298963047,946.388956311753
B5,0.8135715018582642,0.9490535406938103,399.3697192247642,91.19139796714724,890.4179452827788
B6,0.7784959795946869,0.9216370421297717,408.5464648956458,76.36355594130559,890.2984339055366
B7,0.7328717170370773,4.54068859312623,3942.9311546699037,1188.0944676701506,12695.554425901615
B8,0.7388216982227334,4.304520048276536,4065.892954951016,1136.0084797584034,12157.266653587038
B9,0.7206874598310692,4.13866928778101,4208.931199354783,1072.6180240074525,12101.70509235753
B10,0.7624188062603855,0.9883256735604746,6948.5852519401815,-5928.446126595733,29525.44958244088
B11,0.7624525176271533,0.7972325870364275,4847.287140788612,-2496.8406891427358,29394.92057758266
B12,1.5640184548384617,1.1999899482663343,329.1238196427058,-745.9827749226837,21044.01701373762
C1,1.246395160567455,0.46816732306176456,121.98716906297219,3820.9757648441723,12913.527045256396
C2,0.0,1.6906607249056016,0.0,0.0,0.0
C3,0.0,1.7094054667554275,0.0,0.0,0.0
