,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1518622214.0,0.067256,0.065441,0.065205,0.066881,0.066301,0.065278,0.057431,0.064353,0.065038,0.065868,0.0663,0.066233,0.069353,0.066578,0.066436,0.065771,0.065854,0.066365,0.065065,0.060795,0.065439,0.065751,0.05823,0.066535,0.071207,0.06556,0.062341,0.066387,0.066569,0.067148,0.066196,0.065626,0.065491,0.067237,0.065346,0.065571,0.066193,0.069456,0.065839,0.064606,0.064644,0.064491,0.065727,0.058631,0.058337,0.06109,0.062816,0.059479,0.074819,0.062074,0.066529,0.067399,0.058165,0.059694,0.05936,0.065178,0.060223,0.059287,0.060261,0.064991,0.067585,0.065394,0.061987,0.058029,0.062651,0.059149,0.066705,0.065548,0.061548,0.059339,0.065942,0.059714,0.075887,0.067285,0.064655,0.066844,0.065037,0.066078,0.061222,0.065196,0.067426,0.059737,0.063478,0.065841,0.067145,0.063389,0.066423,0.062386,0.065741,0.064146,0.060053,0.067725,0.062907,0.061363,0.060208,0.066755
1518623506.0,0.076976,0.075422,0.074365,0.074885,0.074782,0.07399,0.073933,0.074862,0.067298,0.070639,0.070638,0.070211,0.079711,0.075586,0.075168,0.074583,0.074897,0.074279,0.072805,0.076147,0.066265,0.068863,0.069042,0.070077,0.083705,0.07874,0.075389,0.075,0.076409,0.07244,0.075007,0.073378,0.065885,0.068236,0.069654,0.070897,0.076494,0.075148,0.074211,0.07349,0.073847,0.072691,0.073337,0.073233,0.068163,0.068141,0.071402,0.063749,0.084751,0.075885,0.071474,0.075103,0.075322,0.074102,0.06986,0.074069,0.075987,0.067136,0.067924,0.069129,0.077075,0.074086,0.075378,0.070369,0.072719,0.074127,0.074625,0.074545,0.069421,0.066314,0.072963,0.066925,0.08715,0.076964,0.076129,0.076755,0.073868,0.075341,0.076172,0.071761,0.067804,0.066494,0.068517,0.069516,0.078386,0.070099,0.076823,0.066739,0.075075,0.079507,0.074953,0.073547,0.074632,0.076472,0.070031,0.074652
1518624796.0,0.084352,0.081684,0.080417,0.081708,0.080144,0.080611,0.076644,0.06055,0.050033,0.049826,0.046287,0.056566,0.08577,0.08195,0.081903,0.081051,0.080698,0.08005,0.075526,0.062504,0.04774,0.047221,0.048788,0.051555,0.090973,0.083249,0.082271,0.081859,0.082125,0.080772,0.077267,0.06403,0.04766,0.047175,0.052392,0.049951,0.083139,0.081357,0.080486,0.07979,0.079191,0.078245,0.07698,0.060509,0.054123,0.047647,0.046824,0.051316,0.095065,0.081242,0.080259,0.081496,0.080421,0.079832,0.073701,0.060869,0.053506,0.052281,0.054423,0.048655,0.084521,0.079977,0.085848,0.077239,0.078356,0.077614,0.071786,0.057601,0.0484,0.046013,0.052269,0.057667,0.096831,0.084189,0.083577,0.084033,0.082396,0.079148,0.081184,0.063122,0.047967,0.047547,0.04715,0.05263,0.087931,0.085076,0.086245,0.080869,0.084132,0.085489,0.083654,0.07392,0.055532,0.058948,0.054771,0.059148
1518626088.0,0.09582,0.091272,0.088447,0.090108,0.086355,0.086816,0.065388,0.053081,0.050588,0.052386,0.051121,0.052146,0.093853,0.092505,0.088828,0.087636,0.091923,0.084419,0.071955,0.057836,0.04664,0.049796,0.049026,0.053838,0.10481,0.090107,0.09335,0.091319,0.087915,0.08283,0.066979,0.057118,0.052956,0.048307,0.051523,0.04729,0.094105,0.090919,0.086381,0.088631,0.084575,0.085857,0.069339,0.051325,0.052175,0.04602,0.050976,0.047039,0.10565,0.091576,0.090499,0.094274,0.085797,0.084564,0.070209,0.057153,0.054656,0.047207,0.050987,0.044579,0.094097,0.089231,0.093688,0.085722,0.085074,0.078804,0.071499,0.057165,0.04643,0.044879,0.047737,0.047299,0.10614,0.093398,0.094651,0.090975,0.087465,0.086557,0.060246,0.059633,0.047002,0.045885,0.045479,0.051377,0.095475,0.089791,0.092896,0.087028,0.08952,0.085589,0.071621,0.051873,0.048361,0.050252,0.046315,0.04794
1518627382.0,0.11689,0.10583,0.10763,0.1122,0.10417,0.10036,0.064676,0.04953,0.046084,0.051259,0.044745,0.052584,0.11999,0.10786,0.10721,0.10084,0.10688,0.098947,0.064547,0.055358,0.050698,0.04449,0.051059,0.048004,0.12764,0.11015,0.11183,0.1082,0.10452,0.099057,0.0613,0.054938,0.050568,0.045133,0.05108,0.048712,0.11378,0.10644,0.099062,0.10481,0.097568,0.096296,0.065824,0.048823,0.049776,0.045085,0.048281,0.046686,0.12432,0.10919,0.10946,0.10705,0.10798,0.091784,0.065046,0.055124,0.051574,0.051869,0.04509,0.043856,0.11794,0.11144,0.10945,0.097302,0.098215,0.086914,0.058646,0.0553,0.045534,0.043895,0.043672,0.046954,0.12888,0.11141,0.11373,0.11185,0.097531,0.090492,0.053418,0.050002,0.045074,0.045174,0.044532,0.050927,0.10929,0.10518,0.1078,0.10376,0.097865,0.10571,0.076754,0.047979,0.048524,0.047696,0.04527,0.047661
1518628678.0,0.14855,0.14053,0.13833,0.14021,0.13469,0.11304,0.056302,0.049145,0.047124,0.050718,0.048981,0.046277,0.15169,0.14239,0.13759,0.13623,0.13109,0.11332,0.060912,0.054215,0.051872,0.044362,0.050874,0.046308,0.16232,0.14113,0.14094,0.13917,0.13307,0.11443,0.055979,0.053724,0.05137,0.045952,0.050577,0.052651,0.14437,0.13728,0.13335,0.13192,0.12623,0.10965,0.062112,0.04805,0.04937,0.051003,0.049072,0.046609,0.15317,0.13947,0.14127,0.13492,0.13003,0.10459,0.061625,0.054056,0.051282,0.049628,0.045813,0.043431,0.1453,0.13872,0.13877,0.12264,0.12508,0.098222,0.057614,0.053933,0.044514,0.043318,0.045838,0.04441,0.15706,0.13963,0.13836,0.14035,0.12513,0.098788,0.057659,0.048993,0.044366,0.044637,0.043608,0.050341,0.14611,0.13446,0.13409,0.12511,0.12534,0.12694,0.075918,0.046618,0.046798,0.050774,0.04567,0.046543
1518629972.0,0.17701,0.1708,0.16912,0.17925,0.16778,0.1333,0.059631,0.052429,0.044917,0.050541,0.050234,0.047126,0.17969,0.16829,0.16443,0.16401,0.17303,0.1323,0.059441,0.053264,0.051412,0.049952,0.05027,0.048314,0.18891,0.1669,0.17064,0.17631,0.16309,0.13385,0.059976,0.052773,0.05133,0.051126,0.050317,0.050643,0.17179,0.16608,0.16092,0.1701,0.1579,0.12609,0.053642,0.052146,0.046815,0.051536,0.04986,0.046469,0.18388,0.16476,0.17428,0.16095,0.16133,0.12296,0.057853,0.0533,0.050967,0.051344,0.051001,0.046539,0.17397,0.17228,0.16785,0.15252,0.15664,0.10975,0.058622,0.053417,0.05157,0.043033,0.044512,0.045338,0.18563,0.16705,0.17319,0.17537,0.15918,0.11375,0.057252,0.049053,0.044104,0.044386,0.044002,0.0506,0.17949,0.16479,0.16662,0.15556,0.16189,0.15476,0.087447,0.046233,0.046964,0.045639,0.045807,0.050692
1518631264.0,0.20481,0.19534,0.19432,0.20437,0.19589,0.14911,0.05793,0.051812,0.045463,0.050167,0.049945,0.051232,0.20735,0.19765,0.19252,0.19435,0.20377,0.15025,0.057782,0.052427,0.051087,0.045425,0.050155,0.053105,0.21656,0.19226,0.19881,0.20389,0.19208,0.15532,0.057869,0.052052,0.050759,0.051372,0.049857,0.049992,0.20117,0.19754,0.19052,0.20135,0.18768,0.14337,0.050409,0.051707,0.046974,0.051504,0.05005,0.051986,0.21055,0.19669,0.19737,0.18902,0.19144,0.14687,0.053281,0.052558,0.050783,0.051025,0.050467,0.048004,0.20135,0.19397,0.19523,0.17978,0.1858,0.13481,0.056546,0.052849,0.051578,0.042763,0.042467,0.044015,0.2198,0.19342,0.19797,0.19373,0.18562,0.13201,0.056173,0.043143,0.043667,0.044474,0.04312,0.049701,0.20652,0.19341,0.19716,0.187,0.19312,0.18475,0.098559,0.045711,0.050437,0.047753,0.044333,0.048541
1518632556.0,0.22168,0.2132,0.21107,0.2165,0.2144,0.16684,0.057034,0.051237,0.052527,0.049766,0.049495,0.050879,0.22619,0.21672,0.21223,0.21604,0.22048,0.16622,0.057075,0.052024,0.05084,0.050649,0.050133,0.052144,0.23809,0.21723,0.21851,0.22285,0.2159,0.16995,0.057491,0.05149,0.050169,0.050821,0.049585,0.049447,0.22731,0.22336,0.2156,0.21934,0.215,0.1628,0.049386,0.051522,0.044884,0.051497,0.049572,0.050612,0.2398,0.22332,0.2262,0.21637,0.22024,0.15933,0.056726,0.051974,0.050149,0.050613,0.050122,0.049677,0.22985,0.22564,0.22374,0.20818,0.21483,0.1565,0.055757,0.052162,0.051062,0.043067,0.049499,0.04386,0.25414,0.22672,0.23189,0.23168,0.21919,0.15321,0.055665,0.046592,0.044575,0.043566,0.04232,0.049222,0.24252,0.22787,0.23179,0.22306,0.22691,0.21932,0.11575,0.047831,0.044552,0.052004,0.043302,0.04835
1518633856.0,0.24018,0.23376,0.22943,0.23564,0.2323,0.18181,0.056779,0.051004,0.051883,0.04958,0.049436,0.050879,0.24425,0.23309,0.23371,0.23338,0.24218,0.18078,0.056815,0.051813,0.050553,0.050378,0.049509,0.05245,0.2608,0.23706,0.24206,0.24521,0.23535,0.1895,0.057343,0.051536,0.050146,0.050788,0.049498,0.049233,0.25504,0.24992,0.24128,0.25158,0.24658,0.18297,0.057266,0.050928,0.050079,0.051137,0.049351,0.051877,0.27151,0.24915,0.25242,0.24434,0.2526,0.18803,0.056077,0.051852,0.049947,0.050671,0.050144,0.049602,0.25948,0.24887,0.25153,0.23537,0.24492,0.18215,0.054798,0.051615,0.051174,0.049466,0.049528,0.052303,0.2876,0.26238,0.2662,0.27031,0.25746,0.17905,0.055552,0.052045,0.050947,0.043251,0.042678,0.054771,0.28148,0.26703,0.27061,0.26239,0.26465,0.26122,0.13679,0.052284,0.044347,0.051773,0.049524,0.047954
