,Growth Rate,Lag Phase
A1,0.7344611800818603,14.334142490906213
A2,0.0,2.507564906745941
A3,0.0,1.855701037862545
A4,0.0,2.1400064366220164
A5,0.0,2.008513936365304
A6,0.0,1.4236495461580319
A7,0.0,1.2721873039889573
A8,0.0,1.097289490844858
A9,0.0,1.1532615464153793
A10,0.0,1.2077104045594496
A11,0.0,1.0967732913283612
A12,0.0,1.0823492265724326
B1,0.0,3.507040537223233
B2,0.0,2.7274591823196204
B3,0.0,2.048248251996526
B4,0.0,2.241702319497037
B5,0.0,2.187720597913284
B6,0.0,1.1111438783744347
B7,0.0,1.6546655246160071
B8,0.0,1.3614935500120282
B9,0.0,1.2211712454096073
B10,0.0,1.0579805366056831
B11,0.0,0.9329090075916042
B12,0.0,1.1584691251794652
C1,0.6360843373620897,15.688487089869554
C2,0.0,5.618491991007403
C3,0.0,2.9935781922731906
C4,0.0,2.318299136383402
C5,0.5331590757740127,16.779999834350594
C6,0.0,1.5235734735174589
C7,0.0,0.8947586776337033
C8,0.0,1.7288300223058144
C9,0.0,1.1421230425630995
C10,0.0,0.9094988301467737
C11,0.0,1.0418563728466381
C12,0.0,1.1890884496607157
D1,0.4134009241566181,4.181889684404597
D2,0.6269210275630593,16.084793174599845
D3,0.5001300827505524,21.34086982169668
D4,0.4876496866866095,18.22511115950665
D5,0.5232415547436392,20.280818021201846
D6,0.0,1.2595567210924372
D7,0.0,1.0347055577384339
D8,0.0,1.3329138010807924
D9,0.0,0.9195629260717197
D10,0.0,2.230308273405697
D11,0.0,0.9481577626667956
D12,0.0,1.0017690254117753
E1,0.600715200533469,2.8633262881231647
E2,0.5963655858736757,4.262526098569973
E3,0.5751618655190416,4.616604669925344
E4,0.5790120807876105,6.713540092453133
E5,0.41766458010924773,16.21307345991695
E6,0.34680644781738035,19.86796853318074
E7,0.31788112315424644,23.850873151283768
E8,0.28963858461566244,36.76656589966131
E9,0.0,0.8786840096694704
E10,0.0,1.1468856684551412
E11,0.0,0.926808893367749
E12,0.0,0.8676192936547267
F1,0.6734440819188379,0.6659312538770252
F2,0.6001216068340789,1.4111851591186295
F3,0.5462668165313109,2.0716912482025425
F4,0.47616701008728385,2.4563075414538553
F5,0.45394086179396825,4.9468707958601446
F6,0.4580487090871183,10.265048867016327
F7,0.33015049075305675,24.19027742286692
F8,0.2133213034510874,5.279480405331292
F9,0.2090798543589368,51.62453249794043
F10,0.0,1.2569046202251855
F11,0.0,1.389090008303171
F12,0.0,29.163264937209007
G1,0.6379926612827282,0.042071885741914894
G2,0.6933722007994552,0.0802274688298783
G3,0.6782686319923915,0.3273022588042358
G4,0.6706326858983938,0.43478316871247347
G5,0.6014993238567172,1.0291344100466098
G6,0.5067819581537129,2.319916546919728
G7,0.3862230469969251,7.354139309180482
G8,0.38319451025772266,27.69963666469753
G9,0.0,1.8226045967856237
G10,0.0,1.4761829793565795
G11,0.0,1.0547589892786249
G12,0.0,1.3789536758861232
H1,0.7959410858379734,-0.11082178742212223
H2,0.6900229954099497,-0.02884459654364746
H3,0.6977655729944396,-0.038622132547491916
H4,0.6922791040169375,-0.05840388676017805
H5,0.6060332309206381,-0.06881406816496849
H6,0.5897838915251589,0.010017303744879857
H7,0.5805214506205864,1.09949992485309
H8,0.5308248817906772,3.6468939279335704
H9,0.30028692664353607,11.690166414464562
H10,0.2760236664936628,27.655807185608936
H11,0.0,1.0598306934650878
H12,0.0,2.679420187465965
